,pk_cid,propensity_score,propensity_segment
89,1000481,1.7244593e-05,Low
90,1000482,2.6150885e-05,Low
91,1000483,1.284656e-05,Low
92,1000485,9.97298e-06,Low
93,1000486,9.638981e-06,Low
94,1000487,1.3972403e-05,Low
95,1000490,6.993046e-06,Low
96,1000492,5.3460526e-06,Low
97,1000493,2.5703732e-05,Low
98,1000494,1.6111455e-05,Low
99,1000495,2.6035199e-05,Low
100,1000497,1.3506731e-05,Low
101,1000498,2.2845332e-05,Low
102,1000499,1.42521785e-05,Low
103,1000501,1.4258718e-05,Low
104,1000502,2.7660177e-05,Low
105,1000504,9.054438e-06,Low
106,1000505,7.3946096e-05,Low
107,1000509,2.5484722e-05,Low
108,1000512,2.9114382e-05,Low
109,1000513,1.2359489e-05,Low
110,1000514,1.40603825e-05,Low
111,1000515,3.0071047e-05,Low
112,1000516,2.6719368e-05,Low
113,1000517,1.2155919e-05,Low
114,1000518,1.3755285e-05,Low
115,1000520,1.4725241e-05,Low
116,1000522,1.7599066e-05,Low
117,1000523,1.8606905e-05,Low
118,1000524,2.97734e-05,Low
119,1000525,3.6564878e-05,Low
120,1000527,8.636966e-06,Low
121,1000528,2.4186631e-05,Low
122,1000529,9.447051e-06,Low
123,1000531,5.785151e-06,Low
124,1000532,8.030253e-06,Low
125,1000533,1.2191188e-05,Low
126,1000534,2.2685826e-05,Low
127,1000536,7.1196973e-06,Low
128,1000538,6.627702e-06,Low
129,1000539,1.7975957e-05,Low
130,1000541,2.322149e-05,Low
131,1000542,1.5229451e-05,Low
132,1000543,1.7334454e-05,Low
133,1000547,1.470544e-05,Low
134,1000548,1.31203e-05,Low
135,1000549,5.011407e-06,Low
136,1000550,3.4213142e-05,Low
137,1000554,1.7741882e-05,Low
138,1000555,2.525847e-05,Low
139,1000556,1.4318088e-05,Low
140,1000558,1.1812098e-05,Low
141,1000561,2.78189e-05,Low
142,1000564,1.2988994e-05,Low
143,1000565,8.004135e-06,Low
144,1000566,7.894192e-06,Low
145,1000567,2.5647172e-05,Low
146,1000569,1.3525485e-05,Low
147,1000571,1.0073528e-05,Low
148,1000572,7.5062185e-06,Low
149,1000573,1.3045714e-05,Low
150,1000575,1.8566332e-05,Low
151,1000576,4.3702392e-05,Low
152,1000577,1.0281382e-05,Low
153,1000578,1.6345579e-05,Low
154,1000579,2.6096997e-05,Low
155,1000580,1.7873394e-05,Low
156,1000584,0.00014240334,Low
157,1000585,9.800581e-05,Low
158,1000586,2.1169215e-05,Low
159,1000587,6.089243e-05,Low
160,1000590,2.2611182e-05,Low
161,1000591,4.449424e-05,Low
162,1000592,0.00012383742,Low
163,1000594,1.0443598e-05,Low
164,1000595,6.323131e-05,Low
165,1000597,1.6589922e-05,Low
166,1000598,1.7115308e-05,Low
167,1000599,1.5713942e-05,Low
168,1000601,3.4031764e-05,Low
169,1000603,4.39199e-05,Low
170,1000605,5.7662696e-06,Low
171,1000606,7.342239e-06,Low
172,1000607,6.7359124e-06,Low
173,1000608,9.86076e-06,Low
174,1000610,2.1909547e-05,Low
175,1000612,6.9767325e-06,Low
176,1000613,6.7479486e-06,Low
177,1000616,8.804114e-06,Low
178,1000619,7.953816e-06,Low
179,1000621,9.355825e-06,Low
180,1000623,1.3893264e-05,Low
181,1000625,5.2391777e-05,Low
182,1000626,1.5790285e-05,Low
183,1000628,1.1070329e-05,Low
184,1000631,4.744028e-06,Low
185,1000634,2.1951857e-05,Low
186,1000639,0.00011717963,Low
187,1000640,4.228276e-05,Low
188,1000641,5.1955485e-05,Low
189,1000646,3.37015e-05,Low
190,1000648,2.4439496e-05,Low
191,1000650,8.452654e-06,Low
192,1000651,5.9817947e-05,Low
193,1000652,2.127756e-05,Low
194,1000653,2.95372e-05,Low
195,1000655,1.5442465e-05,Low
196,1000659,1.0951556e-05,Low
197,1000662,1.3478847e-05,Low
198,1000663,3.1560125e-05,Low
199,1000665,1.9577627e-05,Low
200,1000666,9.636591e-06,Low
201,1000668,6.937422e-06,Low
202,1000669,3.5079407e-05,Low
203,1000670,5.8886177e-05,Low
204,1000671,2.2974586e-05,Low
205,1000672,4.604982e-05,Low
206,1000673,2.8668977e-05,Low
207,1000674,1.4078698e-05,Low
208,1000675,4.524108e-06,Low
209,1000677,1.7289267e-05,Low
210,1000678,2.8216633e-05,Low
211,1000679,1.7722148e-05,Low
212,1000680,1.3120738e-05,Low
213,1000683,5.0869745e-05,Low
214,1000684,0.5260603,Medium
215,1000685,1.7507115e-05,Low
216,1000686,4.7840374e-05,Low
217,1000688,6.92549e-06,Low
218,1000689,4.3490112e-05,Low
219,1000691,4.8805045e-06,Low
220,1000693,3.8967475e-05,Low
221,1000695,4.8294405e-06,Low
222,1000696,7.853351e-06,Low
223,1000697,1.618025e-05,Low
224,1000699,1.9216131e-05,Low
225,1000700,2.2983879e-05,Low
226,1000701,1.3249445e-05,Low
227,1000703,7.3200725e-05,Low
228,1000704,1.3624496e-05,Low
229,1000705,9.392344e-06,Low
230,1000707,8.1943535e-06,Low
231,1000708,2.4038796e-05,Low
232,1000709,3.3097047e-05,Low
233,1000710,1.6538694e-05,Low
234,1000711,1.5860734e-05,Low
235,1000713,1.6081765e-05,Low
236,1000715,1.3374709e-05,Low
237,1000716,2.2466267e-05,Low
238,1000717,2.15203e-05,Low
239,1000718,2.5438587e-05,Low
240,1000719,1.0436031e-05,Low
241,1000720,2.8926139e-05,Low
242,1000721,5.0055194e-05,Low
243,1000722,6.342536e-06,Low
244,1000723,2.6155649e-05,Low
245,1000727,6.29686e-05,Low
246,1000729,2.2085153e-05,Low
247,1000730,4.4680008e-05,Low
248,1000739,4.222844e-05,Low
249,1000740,0.00082028616,Low
250,1000741,2.4165673e-05,Low
251,1000743,1.7873326e-05,Low
252,1000744,8.3329805e-06,Low
253,1000745,9.326907e-06,Low
254,1000746,1.0500051e-05,Low
255,1000751,8.290947e-05,Low
256,1000753,5.078536e-05,Low
257,1000754,2.6007083e-05,Low
258,1000757,7.869479e-05,Low
259,1000760,2.8387725e-05,Low
260,1000761,5.9716673e-05,Low
261,1000763,6.2046114e-05,Low
262,1000766,3.2236203e-05,Low
263,1000767,8.5485866e-05,Low
264,1000770,1.9204095e-05,Low
265,1000772,3.8290007e-05,Low
266,1000774,5.6665904e-05,Low
267,1000778,2.1399188e-05,Low
268,1000779,1.410567e-05,Low
269,1000780,1.9123281e-05,Low
270,1000782,6.0767656e-05,Low
271,1000784,2.1109101e-05,Low
272,1000785,3.284994e-06,Low
273,1000788,1.7182001e-05,Low
274,1000789,1.0885706e-05,Low
275,1000791,1.0385257e-05,Low
276,1000792,1.376963e-05,Low
277,1000793,1.853532e-05,Low
278,1000796,0.00018398621,Low
279,1000797,3.7199284e-06,Low
280,1000798,2.3201059e-05,Low
281,1000801,2.144595e-05,Low
282,1000803,4.6689976e-05,Low
283,1000805,5.7797197e-06,Low
284,1000806,1.865244e-05,Low
285,1000807,5.014826e-06,Low
286,1000808,3.199673e-05,Low
287,1000809,4.0736708e-05,Low
288,1000810,7.4226746e-06,Low
289,1000811,4.942613e-05,Low
290,1000813,1.1569867e-05,Low
291,1000814,9.946954e-06,Low
292,1000815,7.5082157e-06,Low
293,1000817,1.8616525e-05,Low
294,1000819,8.006326e-06,Low
295,1000822,8.233308e-06,Low
296,1000824,9.084953e-06,Low
297,1000825,1.7200051e-05,Low
298,1000826,8.364749e-06,Low
299,1000828,8.535252e-05,Low
300,1000829,1.0025197e-05,Low
301,1000831,9.557433e-06,Low
302,1000832,6.83729e-05,Low
303,1000834,1.3664065e-05,Low
304,1000835,3.8972492e-05,Low
305,1000837,2.3010656e-05,Low
306,1000838,3.977301e-06,Low
307,1000839,3.254618e-05,Low
308,1000840,2.6754633e-05,Low
309,1000841,8.410415e-06,Low
310,1000842,3.6084864e-05,Low
311,1000844,1.4259032e-05,Low
312,1000846,3.0841496e-05,Low
313,1000848,3.0841496e-05,Low
314,1000852,1.1938221e-05,Low
315,1000854,6.401e-05,Low
316,1000855,8.26932e-05,Low
317,1000857,3.582322e-05,Low
318,1000858,8.817659e-06,Low
319,1000859,1.7824865e-05,Low
320,1000860,0.00010221902,Low
321,1000865,7.616058e-06,Low
322,1000867,2.70771e-05,Low
323,1000869,9.821895e-06,Low
324,1000871,2.3682418e-05,Low
325,1000872,1.9847159e-05,Low
326,1000873,1.2592803e-05,Low
327,1000874,1.213677e-05,Low
328,1000877,5.2946623e-05,Low
329,1000880,1.21361e-05,Low
330,1000882,3.2359963e-05,Low
331,1000886,3.9802908e-05,Low
332,1000888,0.000122001125,Low
333,1000891,7.3954507e-06,Low
334,1000892,1.6698588e-05,Low
335,1000894,2.7633365e-05,Low
336,1000895,6.4112987e-06,Low
337,1000897,7.28961e-05,Low
338,1000899,1.8420586e-05,Low
339,1000900,9.922538e-06,Low
340,1000901,1.0245754e-05,Low
341,1000902,3.1743075e-05,Low
342,1000904,1.7697828e-05,Low
343,1000905,5.8028777e-06,Low
344,1000906,7.3020665e-06,Low
345,1000907,1.023023e-05,Low
346,1000908,9.323626e-06,Low
347,1000909,2.5430752e-05,Low
348,1000914,1.4086111e-05,Low
349,1000916,1.3644611e-05,Low
350,1000918,1.2260233e-05,Low
351,1000920,1.8308378e-05,Low
352,1000921,1.4155423e-05,Low
353,1000922,2.8830738e-05,Low
354,1000924,1.1859708e-05,Low
355,1000925,2.0478725e-05,Low
356,1000926,3.6241054e-05,Low
357,1000927,1.7267977e-05,Low
358,1000930,6.524054e-06,Low
359,1000931,4.048428e-05,Low
360,1000932,2.1390557e-05,Low
361,1000934,5.074474e-05,Low
362,1000935,2.4384879e-05,Low
363,1000937,0.00016623903,Low
364,1000942,4.543542e-05,Low
365,1000947,6.412852e-05,Low
366,1000948,0.0001511023,Low
367,1000949,1.5156224e-05,Low
368,1000950,1.1147847e-05,Low
369,1000951,1.167297e-05,Low
370,1000952,1.5016024e-05,Low
371,1000953,6.865589e-06,Low
372,1000954,4.6549067e-06,Low
373,1000955,1.0461181e-05,Low
374,1000956,8.224134e-06,Low
375,1000957,8.17831e-06,Low
376,1000958,1.1051352e-05,Low
377,1000959,2.1318567e-05,Low
378,1000960,1.0046206e-05,Low
379,1000963,1.6403434e-05,Low
380,1000964,2.217421e-05,Low
381,1000965,2.0283314e-05,Low
382,1000966,3.52028e-05,Low
383,1000967,2.0087236e-05,Low
384,1000969,3.7674403e-05,Low
385,1000970,6.79085e-05,Low
386,1000972,2.647453e-05,Low
387,1000973,2.559635e-05,Low
388,1000974,2.4582669e-05,Low
389,1000975,1.1636504e-05,Low
390,1000977,6.6520224e-05,Low
391,1000978,2.2179118e-05,Low
392,1000981,2.253906e-05,Low
393,1000982,2.8240323e-05,Low
394,1000983,0.00030467022,Low
395,1000985,4.580122e-06,Low
396,1000987,6.232305e-05,Low
397,1000989,1.8791436e-05,Low
398,1000992,1.2770156e-05,Low
399,1000994,9.035659e-06,Low
400,1000996,1.599222e-05,Low
401,1000997,5.2815405e-05,Low
402,1000998,8.590512e-06,Low
403,1001001,1.16623e-05,Low
404,1001002,1.13963615e-05,Low
405,1001004,1.2432631e-05,Low
406,1001005,3.118112e-05,Low
407,1001006,7.5057455e-06,Low
408,1001007,2.0325971e-05,Low
409,1001009,2.4269579e-05,Low
410,1001010,2.3262983e-05,Low
411,1001011,1.6903721e-05,Low
412,1001012,1.3911402e-05,Low
413,1001013,6.868602e-06,Low
414,1001016,1.11877325e-05,Low
415,1001018,1.1403874e-05,Low
416,1001020,4.7519592e-05,Low
417,1001022,9.602465e-06,Low
418,1001025,9.543699e-06,Low
419,1001028,3.251085e-05,Low
420,1001029,8.140547e-06,Low
421,1001030,2.6901102e-05,Low
422,1001032,6.5775425e-06,Low
423,1001034,1.7597858e-05,Low
424,1001035,4.3887787e-05,Low
425,1001036,3.0177971e-05,Low
426,1001037,1.1771962e-05,Low
427,1001038,2.1072072e-05,Low
428,1001041,6.4312435e-06,Low
429,1001042,6.182498e-06,Low
430,1001043,5.6566987e-06,Low
431,1001044,1.4774558e-05,Low
432,1001047,1.912992e-05,Low
433,1001048,2.0415762e-05,Low
434,1001050,3.0497895e-05,Low
435,1001051,7.7531084e-05,Low
436,1001052,3.470484e-05,Low
437,1001053,1.7690336e-05,Low
438,1001054,1.0583756e-05,Low
439,1001056,5.106635e-05,Low
440,1001057,9.233793e-06,Low
441,1001058,7.364055e-06,Low
442,100106,1.9628476e-05,Low
443,1001060,2.0408655e-05,Low
444,1001061,1.4873659e-05,Low
445,1001062,0.00011376383,Low
446,1001063,1.3300718e-05,Low
447,1001064,2.0411091e-05,Low
448,1001065,5.5109685e-06,Low
449,1001066,1.2725297e-05,Low
450,1001067,8.5479105e-06,Low
451,1001069,1.005392e-05,Low
452,1001070,1.2066993e-05,Low
453,1001076,1.814985e-05,Low
454,1001077,1.8035302e-05,Low
455,1001078,2.792658e-05,Low
456,1001080,5.1370735e-06,Low
457,1001081,1.7081995e-05,Low
458,1001082,4.86024e-06,Low
459,1001084,4.175054e-05,Low
460,1001086,7.587524e-06,Low
461,1001087,1.6156011e-05,Low
462,1001088,2.329826e-05,Low
463,1001089,1.1341684e-05,Low
464,1001090,2.5937632e-05,Low
465,1001091,1.9585788e-05,Low
466,1001092,1.5989492e-05,Low
467,1001093,6.339585e-06,Low
468,1001095,1.0084072e-05,Low
469,1001096,2.0115205e-05,Low
470,1001098,3.3894274e-05,Low
471,1001100,1.6374222e-05,Low
472,1001101,6.190634e-05,Low
473,1001102,2.288002e-05,Low
474,1001103,2.2902463e-05,Low
475,1001104,2.1380114e-05,Low
476,1001106,1.7871927e-05,Low
477,1001107,1.0776589e-05,Low
478,1001108,2.8528848e-05,Low
479,1001109,7.548903e-06,Low
480,1001111,1.7881152e-05,Low
481,1001112,4.788862e-05,Low
482,1001113,3.0009138e-05,Low
483,1001114,3.551433e-05,Low
484,1001117,4.7818343e-05,Low
485,1001120,2.021424e-05,Low
486,1001122,3.2113592e-05,Low
487,1001123,2.1714703e-05,Low
488,1001124,3.2001215e-05,Low
489,1001125,1.9674373e-05,Low
490,1001132,2.8574837e-05,Low
491,1001133,2.70771e-05,Low
492,1001135,0.0021123819,Low
493,1001136,1.3278602e-05,Low
494,1001137,8.230308e-05,Low
495,1001139,2.035299e-05,Low
496,1001143,0.000104385,Low
497,1001149,8.49884e-06,Low
498,1001150,2.4336743e-05,Low
499,1001151,4.4063498e-05,Low
500,1001152,4.8669866e-05,Low
501,1001154,2.5513076e-05,Low
502,1001155,4.844233e-05,Low
503,1001158,1.9831929e-05,Low
504,1001159,2.9006744e-05,Low
505,1001161,3.4636567e-05,Low
506,1001162,2.8965085e-05,Low
507,1001165,9.006383e-06,Low
508,1001166,1.5756605e-05,Low
509,1001167,1.6609947e-05,Low
510,1001171,7.327007e-05,Low
511,1001173,7.335478e-06,Low
512,1001176,7.618707e-05,Low
513,1001177,4.2879838e-05,Low
514,1001178,3.118662e-05,Low
515,1001179,2.2607623e-05,Low
516,1001180,1.3698484e-05,Low
517,1001181,1.5237544e-05,Low
518,1001183,2.304621e-05,Low
519,1001185,1.6096865e-05,Low
520,1001187,1.7814804e-05,Low
521,1001192,1.2943687e-05,Low
522,1001193,1.1579978e-05,Low
523,1001196,8.385292e-06,Low
524,1001197,3.6275218e-05,Low
525,1001200,9.669687e-06,Low
526,1001202,3.445051e-05,Low
527,1001203,3.2070624e-05,Low
528,1001206,1.1081536e-05,Low
529,1001208,8.359901e-06,Low
530,1001211,8.288842e-06,Low
531,1001212,4.758927e-06,Low
532,1001213,1.0579427e-05,Low
533,1001216,2.0753658e-05,Low
534,1001217,1.5955005e-05,Low
535,1001218,3.61897e-05,Low
536,1001219,0.9133084,Top
537,1001220,2.2136519e-05,Low
538,1001224,9.117836e-05,Low
539,1001226,5.57803e-05,Low
540,1001228,4.8723832e-05,Low
541,1001229,5.3079937e-05,Low
542,1001230,4.274641e-05,Low
543,1001235,3.3453307e-05,Low
544,1001237,1.2730881e-05,Low
545,1001238,1.4975754e-05,Low
546,1001239,3.0540185e-05,Low
547,1001241,2.3088713e-05,Low
548,1001242,0.000119797296,Low
549,1001243,5.6523153e-05,Low
550,1001245,1.6753953e-05,Low
551,1001247,3.557687e-05,Low
552,1001254,1.0854876e-05,Low
553,1001257,2.2502849e-05,Low
554,1001259,0.00010099993,Low
555,1001261,0.00010745034,Low
556,1001263,0.00011569164,Low
557,1001264,1.23742675e-05,Low
558,1001265,4.5283545e-05,Low
559,1001266,9.9377285e-06,Low
560,1001268,1.5239128e-05,Low
561,1001269,1.7589806e-05,Low
562,1001272,2.0672533e-05,Low
563,1001275,3.2439893e-05,Low
564,1001278,1.6734248e-05,Low
565,1001280,5.803557e-05,Low
566,1001281,2.0482652e-05,Low
567,1001282,4.3801196e-05,Low
568,1001284,1.2726984e-05,Low
569,1001287,2.2477732e-05,Low
570,1001288,9.0059275e-06,Low
571,1001289,1.2951378e-05,Low
572,1001290,2.5910094e-05,Low
573,1001292,1.4385646e-05,Low
574,1001293,7.923946e-05,Low
575,1001294,1.0730676e-05,Low
576,1001296,3.847342e-05,Low
577,1001297,7.317187e-06,Low
578,1001298,1.6700435e-05,Low
579,1001300,3.1991785e-05,Low
580,1001301,3.06337e-05,Low
581,1001303,6.146595e-06,Low
582,1001304,1.1724726e-05,Low
583,1001305,2.3627195e-05,Low
584,1001308,2.6982138e-05,Low
585,1001314,4.4689936e-05,Low
586,1001316,8.150862e-06,Low
587,1001318,1.71791e-05,Low
588,1001320,4.5958917e-05,Low
589,1001321,1.565725e-05,Low
590,1001322,3.123013e-05,Low
591,1001323,1.3260114e-05,Low
592,1001326,3.6570913e-05,Low
593,1001327,2.5554373e-05,Low
594,1001329,1.0545762e-05,Low
595,1001330,3.1213993e-05,Low
596,1001331,1.762905e-05,Low
597,1001332,2.0036803e-05,Low
598,1001335,5.239797e-05,Low
599,1001336,5.0717936e-05,Low
600,1001337,5.0748662e-05,Low
601,1001342,1.674817e-05,Low
602,1001343,1.9162057e-05,Low
603,1001344,3.0305559e-05,Low
604,1001345,9.380822e-06,Low
605,1001346,5.6770295e-06,Low
606,1001347,1.364028e-05,Low
607,1001348,9.84944e-05,Low
608,1001350,1.5495913e-05,Low
609,1001353,2.833174e-05,Low
610,1001354,8.464366e-06,Low
611,1001357,2.589463e-05,Low
612,1001359,3.3033826e-05,Low
613,1001361,2.9114217e-05,Low
614,1001363,3.666656e-05,Low
615,1001364,6.5251916e-05,Low
616,1001366,2.34381e-05,Low
617,1001367,9.6638636e-05,Low
618,1001368,2.6577209e-05,Low
619,1001371,2.8251745e-05,Low
620,1001373,6.7672822e-06,Low
621,1001374,9.423554e-05,Low
622,1001376,1.2604939e-05,Low
623,1001378,1.3779535e-05,Low
624,1001379,1.1738185e-05,Low
625,1001381,4.2217853e-05,Low
626,1001383,3.6086345e-05,Low
627,1001384,1.6790005e-05,Low
628,1001385,4.1518033e-05,Low
629,1001386,2.0644064e-05,Low
630,1001387,1.8042801e-05,Low
631,1001388,1.1898101e-05,Low
632,1001389,3.1003925e-05,Low
633,1001390,2.9820769e-05,Low
634,1001392,1.154368e-05,Low
635,1001393,1.3644182e-05,Low
636,1001394,3.0397865e-05,Low
637,1001396,7.8302055e-06,Low
638,1001397,1.1121619e-05,Low
639,1001398,6.449615e-06,Low
640,1001399,3.2777232e-05,Low
641,1001400,6.810557e-06,Low
642,1001404,6.998247e-05,Low
643,1001406,6.1114024e-06,Low
644,1001407,2.8405626e-05,Low
645,1001409,5.232002e-06,Low
646,1001410,4.5434856e-05,Low
647,1001414,9.639634e-06,Low
648,1001415,3.1503954e-05,Low
649,1001417,1.695359e-05,Low
650,1001418,3.024862e-05,Low
651,1001420,5.3005706e-06,Low
652,1001422,6.9020966e-06,Low
653,1001423,6.795375e-06,Low
654,1001424,1.0902422e-05,Low
655,1001430,3.0021476e-05,Low
656,1001431,2.7227412e-05,Low
657,1001433,3.1757274e-05,Low
658,1001434,0.9418079,Top
659,1001435,5.615101e-05,Low
660,1001439,1.3211694e-05,Low
661,1001444,2.6695656e-05,Low
662,1001445,0.00010099993,Low
663,1001446,5.536614e-05,Low
664,1001447,2.3217835e-05,Low
665,1001448,1.1241421e-05,Low
666,1001450,1.784194e-05,Low
667,1001451,2.5202073e-05,Low
668,1001452,2.1840122e-05,Low
669,1001455,3.8437298e-05,Low
670,1001458,1.36462895e-05,Low
671,1001459,9.1565735e-06,Low
672,1001460,8.453363e-06,Low
673,1001461,2.7236709e-05,Low
674,1001464,5.2466625e-05,Low
675,1001468,4.1112493e-05,Low
676,1001469,3.4359266e-05,Low
677,1001470,5.1812396e-05,Low
678,1001471,1.9105362e-05,Low
679,1001472,4.645025e-05,Low
680,1001474,3.3197062e-05,Low
681,1001475,5.2804582e-05,Low
682,1001478,3.870478e-05,Low
683,1001480,3.807318e-05,Low
684,1001484,4.4717945e-05,Low
685,1001486,1.7267977e-05,Low
686,1001487,1.106618e-05,Low
687,1001489,1.3190871e-05,Low
688,1001491,1.9712083e-05,Low
689,1001494,1.05660965e-05,Low
690,1001497,6.702949e-06,Low
691,1001498,1.1744635e-05,Low
692,1001500,0.79740417,High
693,1001501,1.5248853e-05,Low
694,1001503,1.6065685e-05,Low
695,1001505,7.0123124e-06,Low
696,1001506,1.3599274e-05,Low
697,1001507,2.6317704e-05,Low
698,1001508,1.5957623e-05,Low
699,1001509,6.282822e-06,Low
700,1001511,1.2980573e-05,Low
701,1001512,1.251705e-05,Low
702,1001513,7.501145e-06,Low
703,1001515,3.6052705e-05,Low
704,1001516,1.7220895e-05,Low
705,1001519,6.0067523e-05,Low
706,1001520,4.0199782e-05,Low
707,1001521,2.154077e-05,Low
708,1001522,1.28651345e-05,Low
709,1001524,3.0623592e-05,Low
710,1001528,3.337963e-05,Low
711,1001529,1.5751948e-05,Low
712,1001533,1.412535e-05,Low
713,1001536,3.352561e-05,Low
714,1001537,2.4465451e-05,Low
715,1001539,5.335566e-05,Low
716,1001540,5.6609406e-06,Low
717,1001542,2.2727661e-05,Low
718,1001545,1.8995703e-05,Low
719,1001546,4.2385385e-05,Low
720,1001555,1.5633435e-05,Low
721,1001556,4.580988e-05,Low
722,1001558,1.784194e-05,Low
723,1001560,5.887635e-05,Low
724,1001561,5.5111763e-05,Low
725,1001562,1.8660483e-05,Low
726,1001564,8.019899e-06,Low
727,1001565,8.3419e-05,Low
728,1001566,2.0626589e-05,Low
729,1001567,1.1879008e-05,Low
730,1001568,2.7844513e-05,Low
731,1001570,1.6301616e-05,Low
732,1001571,3.804117e-05,Low
733,1001574,1.563791e-05,Low
734,1001576,9.987113e-06,Low
735,1001578,3.8502894e-05,Low
736,1001579,2.1474725e-05,Low
737,1001580,1.7444801e-05,Low
738,1001582,7.0408394e-05,Low
739,1001585,2.6311132e-05,Low
740,1001587,0.00014999509,Low
741,1001589,2.7981414e-05,Low
742,1001591,2.6730355e-05,Low
743,1001592,1.5656577e-05,Low
744,1001593,2.1467804e-05,Low
745,1001594,6.5305708e-06,Low
746,1001595,2.4522447e-05,Low
747,1001596,2.091513e-05,Low
748,1001597,9.111078e-06,Low
749,1001599,2.3099834e-05,Low
750,1001601,1.5281914e-05,Low
751,1001603,7.169511e-06,Low
752,1001605,3.8211965e-06,Low
753,1001607,5.324059e-05,Low
754,1001608,9.729109e-06,Low
755,1001609,1.296506e-05,Low
756,1001611,1.0384297e-05,Low
757,1001612,8.391507e-06,Low
758,1001614,2.1003638e-05,Low
759,1001615,2.8959286e-05,Low
760,1001617,1.8596758e-05,Low
761,1001618,8.839769e-06,Low
762,1001620,2.4333192e-05,Low
763,1001623,8.8405195e-06,Low
764,1001628,1.1184415e-05,Low
765,1001630,3.3019023e-05,Low
766,1001631,9.401861e-06,Low
767,1001632,5.3329008e-05,Low
768,1001635,8.602753e-06,Low
769,1001636,2.1668759e-05,Low
770,1001637,1.606544e-05,Low
771,1001638,1.21838075e-05,Low
772,1001639,2.8375816e-05,Low
773,1001640,1.2504593e-05,Low
774,1001641,1.4951293e-05,Low
775,1001642,4.5610846e-05,Low
776,1001646,1.4599466e-05,Low
777,1001647,5.2140254e-06,Low
778,1001649,8.2280485e-06,Low
779,1001650,1.533937e-05,Low
780,1001651,2.599067e-05,Low
781,1001656,8.059984e-06,Low
782,1001657,3.7490474e-05,Low
783,1001658,7.50435e-06,Low
784,1001659,1.4861522e-05,Low
785,1001660,1.9428666e-05,Low
786,1001664,6.329292e-06,Low
787,1001665,6.6998814e-06,Low
788,1001666,8.848752e-06,Low
789,1001667,3.5260826e-05,Low
790,100167,5.1741044e-05,Low
791,1001671,1.9473575e-05,Low
792,1001672,1.0524001e-05,Low
