,pk_cid,short_term_deposit,funds,securities,long_term_deposit,have_inversion_products,propensity_score,propensity_segment
35,1000413,0,0,0,0,0,4.4829976e-06,Low
36,1000414,0,0,0,0,0,0.000115659,Low
37,1000415,0,0,0,0,0,1.874304e-05,Low
38,1000416,0,0,0,0,0,1.5045539e-05,Low
39,1000417,0,0,0,0,0,9.437317e-06,Low
40,1000419,0,0,0,0,0,1.0986883e-05,Low
41,1000423,0,0,0,0,0,3.117012e-05,Low
42,1000424,0,0,0,0,0,4.537333e-05,Low
43,1000425,0,0,0,0,0,6.9418296e-05,Low
44,1000426,0,0,0,0,0,0.00022969257,Low
45,1000430,0,0,0,0,0,2.0399473e-05,Low
46,1000431,0,0,0,0,0,9.547486e-06,Low
47,1000432,0,0,0,0,0,2.8623219e-05,Low
48,1000433,0,0,0,0,0,7.3890146e-06,Low
49,1000435,0,0,0,0,0,2.3181288e-05,Low
50,1000436,0,0,0,0,0,2.1991773e-05,Low
51,1000437,0,0,0,0,0,1.7962557e-05,Low
52,1000438,0,0,0,0,0,0.0002634633,Low
53,1000439,0,0,0,0,0,5.148658e-05,Low
54,1000440,0,0,0,0,0,1.7798671e-05,Low
55,1000441,0,0,0,0,0,6.936463e-05,Low
56,1000442,0,0,0,0,0,1.6664575e-05,Low
57,1000443,0,0,0,0,0,6.7131914e-06,Low
58,1000444,0,0,0,0,0,1.2052882e-05,Low
59,1000447,0,0,0,0,0,3.1495423e-05,Low
60,1000449,0,0,0,0,0,6.903692e-05,Low
61,1000450,0,0,0,0,0,2.4704923e-05,Low
62,1000452,0,0,0,0,0,1.1212941e-05,Low
63,1000453,0,0,0,0,0,8.290346e-05,Low
64,1000454,0,0,0,0,0,1.1200522e-05,Low
65,1000455,0,0,0,0,0,8.074917e-06,Low
66,1000456,0,0,0,0,0,1.8279992e-05,Low
67,1000457,0,0,0,0,0,7.314354e-06,Low
68,1000458,0,0,0,0,0,7.4060163e-06,Low
69,1000460,0,0,0,0,0,1.7808197e-05,Low
70,1000461,0,0,0,0,0,1.0320027e-05,Low
71,1000462,0,0,0,0,0,9.487418e-06,Low
72,1000464,0,0,0,0,0,7.1300456e-06,Low
73,1000465,0,0,0,0,0,2.2836794e-05,Low
74,1000466,0,0,0,0,0,4.0688097e-05,Low
75,1000467,0,0,0,0,0,2.05355e-05,Low
76,1000468,0,0,0,0,0,7.108492e-05,Low
77,1000469,0,0,0,0,0,4.090886e-06,Low
78,1000470,0,0,0,0,0,6.1383003e-06,Low
79,1000471,0,0,0,0,0,5.8786416e-05,Low
80,1000472,0,0,0,0,0,1.3553751e-05,Low
81,1000473,0,0,0,0,0,6.212794e-05,Low
82,1000474,0,0,0,0,0,6.867343e-05,Low
83,1000475,0,0,0,0,0,8.12536e-06,Low
84,1000476,0,0,0,0,0,0.000878699,Low
85,1000477,0,0,0,0,0,1.869593e-05,Low
86,1000478,0,0,0,0,0,9.462082e-06,Low
87,1000479,0,0,0,0,0,1.5175475e-05,Low
88,1000480,0,0,0,0,0,3.7410039e-06,Low
89,1000481,0,0,0,0,0,2.50687e-05,Low
90,1000482,0,0,0,0,0,5.0858976e-05,Low
91,1000483,0,0,0,0,0,0.00021714177,Low
92,1000485,0,0,0,0,0,1.7825732e-05,Low
93,1000486,0,0,0,0,0,1.472937e-05,Low
94,1000487,0,0,0,0,0,9.996795e-06,Low
95,1000488,0,0,0,0,0,3.0957155e-05,Low
96,1000490,0,0,0,0,0,1.9788515e-05,Low
97,1000492,0,0,0,0,0,1.39081785e-05,Low
98,1000493,0,0,0,0,0,2.2622095e-05,Low
99,1000494,0,0,0,0,0,1.5004287e-05,Low
100,1000495,0,0,0,0,0,1.0440002e-05,Low
101,1000497,0,0,0,0,0,8.798424e-06,Low
102,1000498,0,0,0,0,0,2.0820524e-05,Low
103,1000499,0,0,0,0,0,3.6743146e-05,Low
104,1000502,0,0,0,0,0,1.292617e-05,Low
105,1000503,0,0,0,0,0,1.2482492e-05,Low
106,1000504,0,0,0,0,0,2.0721085e-05,Low
107,1000505,0,0,0,0,0,5.597351e-05,Low
108,1000509,0,0,0,0,0,1.3270564e-05,Low
109,1000512,0,0,0,0,0,1.0534966e-05,Low
110,1000513,0,0,0,0,0,7.5946327e-06,Low
111,1000514,0,0,0,0,0,3.970207e-05,Low
112,1000515,0,0,0,0,0,3.8237646e-05,Low
113,1000516,0,0,0,0,0,5.8177586e-05,Low
114,1000517,0,0,0,0,0,2.080909e-05,Low
115,1000518,0,0,0,0,0,1.9467188e-05,Low
116,1000520,0,0,0,0,0,3.7266655e-05,Low
117,1000522,0,0,0,0,0,2.5637635e-05,Low
118,1000523,0,0,0,0,0,1.2828551e-05,Low
119,1000524,0,0,0,0,0,4.9451402e-05,Low
120,1000525,0,0,0,0,0,4.3255466e-05,Low
121,1000527,0,0,0,0,0,2.3296041e-05,Low
122,1000528,0,0,0,0,0,3.2049775e-05,Low
123,1000529,0,0,0,0,0,3.966933e-06,Low
124,1000530,0,0,0,0,0,4.1177474e-05,Low
125,1000531,0,0,0,0,0,1.77496e-05,Low
126,1000532,0,0,0,0,0,1.1235237e-05,Low
127,1000533,0,0,0,0,0,5.262943e-05,Low
128,1000534,0,0,0,0,0,2.0670344e-05,Low
129,1000536,0,0,0,0,0,4.1351876e-05,Low
130,1000537,0,0,0,0,0,9.097774e-05,Low
131,1000538,0,0,0,0,0,1.5837157e-05,Low
132,1000539,0,0,0,0,0,3.181514e-05,Low
133,1000541,0,0,0,0,0,2.3617373e-05,Low
134,1000542,0,0,0,0,0,7.900473e-06,Low
135,1000543,0,0,0,0,0,6.2589666e-06,Low
136,1000547,0,0,0,0,0,4.973172e-06,Low
137,1000548,0,0,0,0,0,3.810405e-05,Low
138,1000549,0,0,0,0,0,2.09055e-05,Low
139,1000550,0,0,0,0,0,1.2118324e-05,Low
140,1000551,0,0,0,0,0,1.702587e-05,Low
141,1000552,0,0,0,0,0,9.530401e-06,Low
142,1000554,0,0,0,0,0,7.214395e-06,Low
143,1000555,0,0,0,0,0,1.0458806e-05,Low
144,1000556,0,0,0,0,0,2.514887e-05,Low
145,1000557,0,0,0,0,0,2.1831687e-05,Low
146,1000558,0,0,0,0,0,1.870249e-05,Low
147,1000559,0,0,0,0,0,1.7661696e-05,Low
148,1000561,0,0,0,0,0,2.2605425e-05,Low
149,1000564,0,0,0,0,0,4.4853664e-06,Low
150,1000565,0,0,0,0,0,7.3906e-06,Low
151,1000566,0,0,0,0,0,1.8288343e-05,Low
152,1000567,0,0,0,0,0,0.00013887587,Low
153,1000569,0,0,0,0,0,6.136211e-06,Low
154,1000571,0,0,0,0,0,7.300003e-05,Low
155,1000572,0,0,0,0,0,2.3867702e-05,Low
156,1000573,0,0,0,0,0,2.283481e-05,Low
157,1000575,0,0,0,0,0,2.8966993e-05,Low
158,1000576,0,0,0,0,0,0.00011109467,Low
159,1000577,0,0,0,0,0,0.00010608053,Low
160,1000578,0,0,0,0,0,1.2323874e-05,Low
161,1000579,0,0,0,0,0,2.1663303e-05,Low
162,1000580,0,0,0,0,0,1.1236469e-05,Low
163,1000582,0,0,0,0,0,1.4572327e-05,Low
164,1000584,0,0,0,0,0,4.159182e-05,Low
165,1000585,0,0,0,0,0,5.2809213e-05,Low
166,1000586,0,0,0,0,0,8.726701e-05,Low
167,1000587,0,0,0,0,0,0.00012016088,Low
168,1000590,0,0,0,0,0,3.9663093e-05,Low
169,1000591,0,0,0,0,0,1.8818784e-05,Low
170,1000592,0,0,0,0,0,0.00013619794,Low
171,1000594,0,0,0,0,0,1.9323728e-05,Low
172,1000595,0,0,0,0,0,3.7844944e-05,Low
173,1000597,0,0,0,0,0,0.0008244024,Low
174,1000598,0,0,0,0,0,0.00078116806,Low
175,1000599,0,0,0,0,0,0.00017950794,Low
176,1000601,0,0,0,0,0,9.5757634e-05,Low
177,1000603,0,0,0,0,0,2.7005564e-05,Low
178,1000605,0,0,0,0,0,1.9478533e-05,Low
179,1000606,0,0,0,0,0,1.6014701e-05,Low
180,1000607,0,0,0,0,0,2.9167879e-05,Low
181,1000610,0,0,0,0,0,6.5980625e-05,Low
182,1000612,0,0,0,0,0,1.5115289e-05,Low
183,1000613,0,0,0,0,0,6.919984e-06,Low
184,1000616,0,0,0,0,0,4.7913777e-06,Low
185,1000619,0,0,0,0,0,4.250597e-05,Low
186,1000623,0,0,0,0,0,0.00020454904,Low
187,1000625,0,0,0,0,0,2.6624391e-05,Low
188,1000626,0,0,0,0,0,2.1940115e-05,Low
189,1000628,0,0,0,0,0,3.6806483e-05,Low
190,1000631,0,0,0,0,0,1.1147093e-05,Low
191,1000634,0,0,0,0,0,1.3555975e-05,Low
192,1000639,0,0,0,0,0,7.064702e-05,Low
193,1000640,0,0,0,0,0,1.8344555e-05,Low
194,1000641,0,0,0,0,0,4.2401516e-05,Low
195,1000646,0,0,0,0,0,2.9157365e-05,Low
196,1000647,0,0,0,0,0,4.4345514e-05,Low
197,1000648,0,0,0,0,0,2.311645e-05,Low
198,1000650,0,0,0,0,0,4.469738e-06,Low
199,1000651,0,0,0,0,0,3.8640574e-05,Low
200,1000652,0,0,0,0,0,5.1680504e-06,Low
201,1000653,0,0,0,0,0,5.588546e-05,Low
202,1000655,0,0,0,0,0,1.0905979e-05,Low
203,1000661,0,0,0,0,0,2.4918278e-05,Low
204,1000662,0,0,0,0,0,6.592979e-06,Low
205,1000663,0,0,0,0,0,2.0023757e-05,Low
206,1000665,0,0,0,0,0,4.3247135e-05,Low
207,1000666,0,0,0,0,0,4.9037294e-06,Low
208,1000668,0,0,0,0,0,1.7139679e-05,Low
209,1000669,0,0,0,0,0,6.4090796e-06,Low
210,1000670,0,0,0,0,0,2.4840976e-05,Low
211,1000671,0,0,0,0,0,1.7034574e-05,Low
212,1000672,0,0,0,0,0,1.4550054e-05,Low
213,1000673,0,0,0,0,0,1.29689415e-05,Low
214,1000674,0,0,0,0,0,2.3469862e-05,Low
215,1000675,0,0,0,0,0,0.00014967818,Low
216,1000677,0,0,0,0,0,1.0855436e-05,Low
217,1000679,0,0,0,0,0,8.600168e-06,Low
218,1000680,0,0,0,0,0,5.164198e-06,Low
219,1000683,0,0,0,0,0,4.373587e-05,Low
220,1000684,0,0,0,0,0,0.2787912,Low
221,1000685,0,0,0,0,0,5.558383e-06,Low
222,1000686,0,0,0,0,0,5.3169962e-05,Low
223,1000688,0,0,0,0,0,2.4918516e-05,Low
224,1000691,0,0,0,0,0,5.50201e-06,Low
225,1000693,0,0,0,0,0,2.2040882e-05,Low
226,1000695,0,0,0,0,0,1.5435942e-05,Low
227,1000696,0,0,0,0,0,1.2033873e-05,Low
228,1000699,0,0,0,0,0,1.7366438e-05,Low
229,1000700,0,0,0,0,0,9.516842e-06,Low
230,1000701,0,0,0,0,0,3.3525263e-05,Low
231,1000703,0,0,0,0,0,2.6284148e-05,Low
232,1000704,0,0,0,0,0,4.337017e-05,Low
233,1000705,0,0,0,0,0,1.21947805e-05,Low
234,1000707,0,0,0,0,0,1.6621056e-05,Low
235,1000708,0,0,0,0,0,1.8683471e-05,Low
236,1000709,0,0,0,0,0,1.8186945e-05,Low
237,1000710,0,0,0,0,0,5.365666e-06,Low
238,1000711,0,0,0,0,0,1.5221174e-05,Low
239,1000712,0,0,0,0,0,1.732006e-05,Low
240,1000713,0,0,0,0,0,2.339317e-05,Low
241,1000715,0,0,0,0,0,5.6949117e-05,Low
242,1000716,0,0,0,0,0,4.261905e-05,Low
243,1000717,0,0,0,0,0,2.1909653e-05,Low
244,1000718,0,0,0,0,0,3.16996e-05,Low
245,1000719,0,0,0,0,0,2.0564485e-05,Low
246,1000720,0,0,0,0,0,1.3376723e-05,Low
247,1000721,0,0,0,0,0,2.255381e-05,Low
248,1000722,0,0,0,0,0,2.7992652e-05,Low
249,1000727,0,0,0,0,0,3.6344507e-05,Low
250,1000729,0,0,0,0,0,0.0003302053,Low
251,1000730,0,0,0,0,0,8.249873e-05,Low
252,1000734,0,0,0,0,0,6.046758e-05,Low
253,1000739,0,0,0,0,0,9.151703e-05,Low
254,1000740,0,0,0,0,0,0.00018103639,Low
255,1000743,0,0,0,0,0,2.494186e-05,Low
256,1000744,0,0,0,0,0,2.5363179e-05,Low
257,1000745,0,0,0,0,0,3.359141e-05,Low
258,1000746,0,0,0,0,0,3.529669e-05,Low
259,1000749,0,0,0,0,0,4.368281e-05,Low
260,1000750,0,0,0,0,0,4.4873654e-05,Low
261,1000751,0,0,0,0,0,0.00011821394,Low
262,1000753,0,0,0,0,0,4.0209216e-05,Low
263,1000757,0,0,0,0,0,0.00038367326,Low
264,1000760,0,0,0,0,0,0.0012646803,Low
265,1000761,0,0,0,0,0,7.5656964e-05,Low
266,1000763,0,0,0,0,0,0.00028114894,Low
267,1000767,0,0,0,0,0,4.4012348e-05,Low
268,1000770,0,0,0,0,0,2.8831757e-05,Low
269,1000772,0,0,0,0,0,2.25673e-05,Low
270,1000774,0,0,0,0,0,0.0001025848,Low
271,1000776,0,0,0,0,0,8.4816464e-05,Low
272,1000777,0,0,0,0,0,0.00021554704,Low
273,1000778,0,0,0,0,0,1.685591e-05,Low
274,1000779,0,0,0,0,0,4.7347705e-05,Low
275,1000780,0,0,0,0,0,3.0081457e-05,Low
276,1000782,0,0,0,0,0,2.1086948e-05,Low
277,1000784,0,0,0,0,0,0.00013551445,Low
278,1000785,0,0,0,0,0,5.3213366e-06,Low
279,1000788,0,0,0,0,0,9.999589e-06,Low
280,1000789,0,0,0,0,0,1.8410856e-05,Low
281,1000791,0,0,0,0,0,1.6193033e-05,Low
282,1000792,0,0,0,0,0,1.3469711e-05,Low
283,1000793,0,0,0,0,0,4.8694706e-05,Low
284,1000795,0,0,0,0,0,4.4213764e-05,Low
285,1000796,0,0,0,0,0,3.419954e-05,Low
286,1000797,0,0,0,0,0,5.984819e-06,Low
287,1000798,0,0,0,0,0,1.8280725e-05,Low
288,1000800,0,0,0,0,0,0.00022065347,Low
289,1000801,0,0,0,0,0,1.4163944e-05,Low
290,1000805,0,0,0,0,0,3.52462e-05,Low
291,1000806,0,0,0,0,0,3.0099736e-05,Low
292,1000807,0,0,0,0,0,1.7888606e-05,Low
293,1000808,0,0,0,0,0,1.5720012e-05,Low
294,1000809,0,0,0,0,0,1.4200787e-05,Low
295,1000810,0,0,0,0,0,8.127035e-06,Low
296,1000811,0,0,0,0,0,2.0049458e-05,Low
297,1000813,0,0,0,0,0,7.033988e-05,Low
298,1000814,0,0,0,0,0,5.6551242e-05,Low
299,1000815,0,0,0,0,0,7.9292995e-06,Low
300,1000817,0,0,0,0,0,3.3472006e-05,Low
301,1000819,0,0,0,0,0,2.921774e-06,Low
302,1000822,0,0,0,0,0,2.4055764e-05,Low
303,1000824,0,0,0,0,0,2.1628708e-05,Low
304,1000825,0,0,0,0,0,1.939072e-05,Low
305,1000826,0,0,0,0,0,0.00019922966,Low
306,1000828,0,0,0,0,0,4.7800702e-05,Low
307,1000829,0,0,0,0,0,2.0296296e-05,Low
308,1000831,0,0,0,0,0,3.5235313e-05,Low
309,1000832,0,0,0,0,0,2.4234192e-05,Low
310,1000834,0,0,0,0,0,1.5399435e-05,Low
311,1000835,0,0,0,0,0,4.1891242e-05,Low
312,1000837,0,0,0,0,0,2.7944456e-05,Low
313,1000838,0,0,0,0,0,8.7683775e-06,Low
314,1000839,0,0,0,0,0,1.3837305e-05,Low
315,1000840,0,0,0,0,0,1.65872e-05,Low
316,1000841,0,0,0,0,0,1.2166344e-05,Low
317,1000842,0,0,0,0,0,6.3516134e-05,Low
318,1000844,0,0,0,0,0,2.3352628e-05,Low
319,1000846,0,0,0,0,0,8.192112e-05,Low
320,1000848,0,0,0,0,0,8.192112e-05,Low
321,1000852,0,0,0,0,0,7.8718884e-05,Low
322,1000854,0,0,0,0,0,5.6096254e-05,Low
323,1000855,0,0,0,0,0,0.00012159335,Low
324,1000857,0,0,0,0,0,3.7177913e-05,Low
325,1000858,0,0,0,0,0,7.0528615e-05,Low
326,1000859,0,0,0,0,0,1.8310944e-05,Low
327,1000860,0,0,0,0,0,6.016406e-05,Low
328,1000864,0,0,0,0,0,5.459776e-05,Low
329,1000865,0,0,0,0,0,9.160898e-05,Low
330,1000867,0,0,0,0,0,9.198652e-05,Low
331,1000869,0,0,0,0,0,1.868135e-05,Low
332,1000871,0,0,0,0,0,0.00014668424,Low
333,1000872,0,0,0,0,0,6.1259125e-05,Low
334,1000873,0,0,0,0,0,0.00012211798,Low
335,1000874,0,0,0,0,0,1.6878432e-05,Low
336,1000877,0,0,0,0,0,6.186881e-05,Low
337,1000880,0,0,0,0,0,2.1678825e-05,Low
338,1000882,0,0,0,0,0,0.0001973351,Low
339,1000886,0,0,0,0,0,0.00010085797,Low
340,1000887,0,0,0,0,0,2.5800518e-05,Low
341,1000888,0,0,0,0,0,7.731992e-05,Low
342,1000891,0,0,0,0,0,1.0858147e-05,Low
343,1000894,0,0,0,0,0,1.2579132e-05,Low
344,1000895,0,0,0,0,0,8.7501e-06,Low
345,1000896,0,0,0,0,0,5.0007053e-05,Low
346,1000897,0,0,0,0,0,4.236724e-05,Low
347,1000900,0,0,0,0,0,1.8256456e-05,Low
348,1000901,0,0,0,0,0,6.267759e-06,Low
349,1000902,0,0,0,0,0,1.4333704e-05,Low
350,1000903,0,0,0,0,0,4.2561052e-05,Low
351,1000904,0,0,0,0,0,7.737188e-06,Low
352,1000905,0,0,0,0,0,3.1476837e-05,Low
353,1000906,0,0,0,0,0,5.0874303e-05,Low
354,1000907,0,0,0,0,0,2.0788679e-05,Low
355,1000908,0,0,0,0,0,1.4046471e-05,Low
356,1000909,0,0,0,0,0,3.3841014e-05,Low
357,1000914,0,0,0,0,0,8.772819e-06,Low
358,1000916,0,0,0,0,0,2.1736314e-05,Low
359,1000918,0,0,0,0,0,1.5471387e-05,Low
360,1000920,0,0,0,0,0,1.3771548e-05,Low
361,1000921,0,0,0,0,0,9.195637e-06,Low
362,1000922,0,0,0,0,0,1.0116167e-05,Low
363,1000924,0,0,0,0,0,1.5333037e-05,Low
364,1000925,0,0,0,0,0,1.0978923e-05,Low
365,1000926,0,0,0,0,0,3.1106392e-05,Low
366,1000927,0,0,0,0,0,2.1759417e-05,Low
367,1000928,0,0,0,0,0,4.1876945e-05,Low
368,1000930,0,0,0,0,0,1.00717225e-05,Low
369,1000931,0,0,0,0,0,2.9326471e-05,Low
370,1000932,0,0,0,0,0,1.4070322e-05,Low
371,1000934,0,0,0,0,0,3.67613e-05,Low
372,1000935,0,0,0,0,0,1.6640879e-05,Low
373,1000937,0,0,0,0,0,0.00035532055,Low
374,1000947,0,0,0,0,0,0.00022181809,Low
375,1000949,0,0,0,0,0,3.0297295e-05,Low
376,1000950,0,0,0,0,0,5.4818247e-06,Low
377,1000951,0,0,0,0,0,8.554525e-06,Low
378,1000952,0,0,0,0,0,6.9277294e-06,Low
379,1000953,0,0,0,0,0,7.1411514e-06,Low
380,1000954,0,0,0,0,0,8.860253e-06,Low
381,1000955,0,0,0,0,0,8.021887e-06,Low
382,1000956,0,0,0,0,0,3.6204336e-05,Low
383,1000957,0,0,0,0,0,2.6527881e-05,Low
384,1000958,0,0,0,0,0,1.4116907e-05,Low
385,1000959,0,0,0,0,0,4.5137087e-05,Low
386,1000960,0,0,0,0,0,2.666955e-05,Low
387,1000963,0,0,0,0,0,8.2724155e-06,Low
388,1000964,0,0,0,0,0,0.0001914627,Low
389,1000966,0,0,0,0,0,7.106547e-05,Low
390,1000968,0,0,0,0,0,5.8614514e-05,Low
391,1000969,0,0,0,0,0,7.355521e-05,Low
392,1000970,0,0,0,0,0,0.00024196968,Low
393,1000972,0,0,0,0,0,1.700917e-05,Low
394,1000973,0,0,0,0,0,8.0778154e-05,Low
395,1000974,0,0,0,0,0,8.259067e-05,Low
396,1000975,0,0,0,0,0,7.324723e-05,Low
397,1000977,0,0,0,0,0,0.0008112914,Low
398,1000978,0,0,0,0,0,1.3333737e-05,Low
399,1000981,0,0,0,0,0,3.4171764e-05,Low
400,1000982,0,0,0,0,0,9.198652e-05,Low
401,1000983,0,0,0,0,0,4.4586326e-05,Low
402,1000985,0,0,0,0,0,2.1902653e-05,Low
403,1000987,0,0,0,0,0,2.0833075e-05,Low
404,1000988,0,0,0,0,0,2.0572526e-05,Low
405,1000989,0,0,0,0,0,0.00012233581,Low
406,1000992,0,0,0,0,0,4.5048204e-05,Low
407,1000994,0,0,0,0,0,3.0592302e-05,Low
408,1000997,0,0,0,0,0,2.5466503e-05,Low
409,1000998,0,0,0,0,0,2.9521654e-05,Low
410,1001001,0,0,0,0,0,1.9325571e-05,Low
411,1001002,0,0,0,0,0,3.0457843e-05,Low
412,1001004,0,0,0,0,0,6.6036705e-06,Low
413,1001005,0,0,0,0,0,1.6711667e-05,Low
414,1001006,0,0,0,0,0,1.6353046e-05,Low
415,1001007,0,0,0,0,0,4.41222e-05,Low
416,1001009,0,0,0,0,0,1.4669611e-05,Low
417,1001010,0,0,0,0,0,2.1747965e-05,Low
418,1001011,0,0,0,0,0,2.3291064e-05,Low
419,1001012,0,0,0,0,0,2.8556175e-05,Low
420,1001013,0,0,0,0,0,2.1331358e-05,Low
421,1001015,0,0,0,0,0,1.982998e-05,Low
422,1001016,0,0,0,0,0,5.504952e-05,Low
423,1001018,0,0,0,0,0,0.00011122261,Low
424,1001020,0,0,0,0,0,2.9475155e-05,Low
425,1001022,0,0,0,0,0,0.00014514998,Low
426,1001025,0,0,0,0,0,1.1897896e-05,Low
427,1001027,0,0,0,0,0,1.3394913e-05,Low
428,1001028,0,0,0,0,0,2.9675717e-05,Low
429,1001029,0,0,0,0,0,8.970544e-06,Low
430,1001030,0,0,0,0,0,2.6565629e-05,Low
431,1001032,0,0,0,0,0,1.3663375e-05,Low
432,1001034,0,0,0,0,0,6.27297e-05,Low
433,1001035,0,0,0,0,0,2.9430577e-05,Low
434,1001036,0,0,0,0,0,1.5530739e-05,Low
435,1001037,0,0,0,0,0,4.5592802e-05,Low
436,1001038,0,0,0,0,0,1.1384728e-05,Low
437,1001041,0,0,0,0,0,2.1229765e-05,Low
438,1001042,0,0,0,0,0,1.5106485e-05,Low
439,1001043,0,0,0,0,0,1.5712789e-05,Low
440,1001044,0,0,0,0,0,1.4514465e-05,Low
441,1001047,0,0,0,0,0,8.479248e-06,Low
442,1001048,0,0,0,0,0,1.040059e-05,Low
443,1001051,0,0,0,0,0,3.2286167e-05,Low
444,1001052,0,0,0,0,0,1.5337702e-05,Low
445,1001053,0,0,0,0,0,5.1152456e-06,Low
446,1001056,0,0,0,0,0,1.6934766e-05,Low
447,1001057,0,0,0,0,0,4.390398e-06,Low
448,1001058,0,0,0,0,0,2.1977621e-05,Low
449,1001059,0,0,0,0,0,1.4914283e-05,Low
450,100106,0,0,0,0,0,5.4722128e-05,Low
451,1001060,0,0,0,0,0,1.2865159e-05,Low
452,1001062,0,0,0,0,0,0.00017120891,Low
453,1001063,0,0,0,0,0,7.800988e-06,Low
454,1001064,0,0,0,0,0,2.6328598e-05,Low
455,1001065,0,0,0,0,0,3.4448472e-05,Low
456,1001066,0,0,0,0,0,1.0345283e-05,Low
457,1001067,0,0,0,0,0,3.897071e-05,Low
458,1001069,0,0,0,0,0,4.7745557e-06,Low
459,1001070,0,0,0,0,0,1.8518534e-05,Low
460,1001071,0,0,0,0,0,0.00010324045,Low
461,1001076,0,0,0,0,0,1.8877525e-05,Low
462,1001077,0,0,0,0,0,1.17346035e-05,Low
463,1001078,0,0,0,0,0,1.3592777e-05,Low
464,1001080,0,0,0,0,0,3.4097968e-05,Low
465,1001081,0,0,0,0,0,1.1826853e-05,Low
466,1001082,0,0,0,0,0,1.962859e-05,Low
467,1001084,0,0,0,0,0,3.2075153e-05,Low
468,1001086,0,0,0,0,0,5.8246536e-05,Low
469,1001087,0,0,0,0,0,0.00013988103,Low
470,1001088,0,0,0,0,0,1.0360052e-05,Low
471,1001089,0,0,0,0,0,8.238483e-06,Low
472,1001090,0,0,0,0,0,1.4409702e-05,Low
473,1001091,0,0,0,0,0,1.1525167e-05,Low
474,1001092,0,0,0,0,0,1.7941704e-05,Low
475,1001093,0,0,0,0,0,7.994302e-06,Low
476,1001095,0,0,0,0,0,3.597327e-05,Low
477,1001096,0,0,0,0,0,5.3012453e-05,Low
478,1001098,0,0,0,0,0,4.053771e-05,Low
479,1001100,0,0,0,0,0,2.2744705e-05,Low
480,1001101,0,0,0,0,0,1.9392162e-05,Low
481,1001102,0,0,0,0,0,9.444439e-06,Low
482,1001104,0,0,0,0,0,1.9346446e-05,Low
483,1001106,0,0,0,0,0,8.5233205e-06,Low
484,1001107,0,0,0,0,0,2.2693725e-05,Low
485,1001108,0,0,0,0,0,1.5143757e-05,Low
486,1001109,0,0,0,0,0,2.5008672e-05,Low
487,1001111,0,0,0,0,0,1.2372746e-05,Low
488,1001112,0,0,0,0,0,4.645495e-05,Low
489,1001113,0,0,0,0,0,2.6698739e-05,Low
490,1001114,0,0,0,0,0,7.6427124e-05,Low
491,1001117,0,0,0,0,0,0.00012710664,Low
492,1001120,0,0,0,0,0,2.8269775e-05,Low
493,1001122,0,0,0,0,0,0.00015026049,Low
494,1001123,0,0,0,0,0,2.4243878e-05,Low
495,1001125,0,0,0,0,0,4.302127e-05,Low
496,1001132,0,0,0,0,0,6.3908745e-05,Low
497,1001133,0,0,0,0,0,9.198652e-05,Low
498,1001136,0,0,0,0,0,2.6228283e-05,Low
499,1001137,0,0,0,0,0,8.511138e-05,Low
500,1001139,0,0,0,0,0,8.1956045e-05,Low
501,1001143,0,0,0,0,0,4.9083155e-05,Low
502,1001149,0,0,0,0,0,2.0490252e-05,Low
503,1001150,0,0,0,0,0,0.00021907808,Low
504,1001151,0,0,0,0,0,5.4774344e-05,Low
