,pk_cid,credit_card,debit_card,have_paymentcards_products,propensity_score,propensity_segment
47,1000438,0,0,0,1.735432e-05,Low
48,1000439,0,0,0,3.3275821e-06,Low
49,1000440,0,0,0,2.5792665e-06,Low
50,1000441,0,0,0,1.0487042e-05,Low
51,1000442,0,0,0,2.1317258e-06,Low
52,1000443,0,0,0,2.363361e-06,Low
53,1000444,0,0,0,3.4956e-06,Low
54,1000447,0,0,0,8.535651e-06,Low
55,1000449,0,0,0,4.7442677e-06,Low
56,1000450,0,0,0,6.1321507e-06,Low
57,1000451,0,0,0,4.0167765e-06,Low
58,1000452,0,0,0,2.8269806e-06,Low
59,1000454,0,0,0,3.6695244e-06,Low
60,1000455,0,0,0,3.1862555e-06,Low
61,1000456,0,0,0,3.4618572e-06,Low
62,1000457,0,0,0,2.167233e-06,Low
63,1000458,0,0,0,3.767164e-06,Low
64,1000460,0,0,0,2.3734667e-06,Low
65,1000461,0,0,0,1.8781602e-06,Low
66,1000462,0,0,0,2.8183586e-06,Low
67,1000464,0,0,0,2.8381778e-06,Low
68,1000465,0,0,0,2.2493232e-06,Low
69,1000466,0,0,0,4.7021786e-06,Low
70,1000467,0,0,0,6.2277736e-06,Low
71,1000470,0,0,0,1.9680829e-06,Low
72,1000471,0,0,0,3.3457552e-06,Low
73,1000472,0,0,0,3.3465435e-06,Low
74,1000473,0,0,0,6.0363786e-06,Low
75,1000474,0,0,0,2.7341775e-06,Low
76,1000475,0,0,0,2.740184e-06,Low
77,1000476,0,0,0,2.5478548e-05,Low
78,1000477,0,0,0,4.783648e-06,Low
79,1000478,0,0,0,2.9008258e-06,Low
80,1000479,0,0,0,2.8050265e-06,Low
81,1000480,0,0,0,1.6026031e-06,Low
82,1000482,0,0,0,9.645529e-06,Low
83,1000483,0,0,0,2.0082314e-05,Low
84,1000485,0,0,0,5.429432e-06,Low
85,1000486,0,0,0,1.1254883e-05,Low
86,1000487,0,0,0,1.1440213e-05,Low
87,1000490,0,0,0,5.2690607e-06,Low
88,1000492,0,0,0,6.866303e-06,Low
89,1000493,0,0,0,1.2816776e-05,Low
90,1000494,0,0,0,4.9665127e-06,Low
91,1000495,0,0,0,7.3613587e-06,Low
92,1000497,0,0,0,8.972948e-06,Low
93,1000499,0,0,0,7.588783e-06,Low
94,1000501,0,0,0,1.3819014e-05,Low
95,1000504,0,0,0,7.798012e-06,Low
96,1000509,0,0,0,8.333846e-06,Low
97,1000512,0,0,0,2.1618562e-05,Low
98,1000513,0,0,0,8.946101e-06,Low
99,1000514,0,0,0,1.3395503e-05,Low
100,1000515,0,0,0,9.696753e-06,Low
101,1000516,0,0,0,2.015108e-06,Low
102,1000517,0,0,0,9.172042e-06,Low
103,1000518,0,0,0,1.1470835e-05,Low
104,1000520,0,0,0,2.1361242e-05,Low
105,1000522,0,0,0,1.1437267e-05,Low
106,1000523,0,0,0,1.1466613e-05,Low
107,1000524,0,0,0,9.829851e-06,Low
108,1000527,0,0,0,4.500101e-06,Low
109,1000528,0,0,0,8.889707e-06,Low
110,1000529,0,0,0,1.7465576e-05,Low
111,1000531,0,0,0,7.5831035e-06,Low
112,1000532,0,0,0,4.5095617e-06,Low
113,1000533,0,0,0,1.9906738e-05,Low
114,1000534,0,0,0,1.2019788e-05,Low
115,1000536,0,0,0,1.1383381e-05,Low
116,1000537,0,0,0,9.9291365e-06,Low
117,1000538,0,0,0,7.58476e-06,Low
118,1000539,0,0,0,1.913534e-05,Low
119,1000541,0,0,0,4.228592e-06,Low
120,1000542,0,0,0,9.4436555e-06,Low
121,1000543,0,0,0,6.6052135e-06,Low
122,1000547,0,0,0,9.449799e-06,Low
123,1000549,0,0,0,8.58767e-06,Low
124,1000550,0,0,0,1.5979369e-05,Low
125,1000554,0,0,0,9.064218e-06,Low
126,1000556,0,0,0,6.308435e-06,Low
127,1000561,0,0,0,1.2213251e-05,Low
128,1000564,0,0,0,8.396791e-06,Low
129,1000565,0,0,0,1.00897e-05,Low
130,1000566,0,0,0,1.0414962e-05,Low
131,1000567,0,0,0,6.441642e-06,Low
132,1000569,0,0,0,8.256425e-06,Low
133,1000571,0,0,0,1.4190281e-05,Low
134,1000572,0,0,0,3.0219383e-06,Low
135,1000573,0,0,0,4.7105987e-06,Low
136,1000575,0,0,0,4.859976e-06,Low
137,1000577,0,0,0,5.3497906e-06,Low
138,1000578,0,0,0,2.536694e-06,Low
139,1000579,0,0,0,3.8414387e-06,Low
140,1000580,0,0,0,5.1599245e-06,Low
141,1000586,0,0,0,8.655693e-06,Low
142,1000587,0,0,0,2.6942385e-05,Low
143,1000591,0,0,0,6.6469506e-06,Low
144,1000592,0,0,0,1.3050891e-05,Low
145,1000594,0,0,0,2.6030135e-05,Low
146,1000595,0,0,0,1.7045884e-05,Low
147,1000597,0,0,0,2.76739e-05,Low
148,1000598,0,0,0,2.5476751e-05,Low
149,1000599,0,0,0,6.7516503e-06,Low
150,1000601,0,0,0,1.7591918e-05,Low
151,1000605,0,0,0,3.4317443e-06,Low
152,1000606,0,0,0,3.3567396e-06,Low
153,1000607,0,0,0,5.641759e-06,Low
154,1000608,0,0,0,6.190722e-06,Low
155,1000612,0,0,0,2.2893228e-06,Low
156,1000613,0,0,0,3.7893815e-06,Low
157,1000616,0,0,0,4.276002e-06,Low
158,1000619,0,0,0,5.8584988e-06,Low
159,1000621,0,0,0,1.1038449e-05,Low
160,1000623,0,0,0,9.6897365e-06,Low
161,1000626,0,0,0,2.2293448e-06,Low
162,1000628,0,0,0,4.226544e-06,Low
163,1000631,0,0,0,2.6839061e-06,Low
164,1000634,0,0,0,4.6622904e-06,Low
165,1000639,0,0,0,2.2419395e-05,Low
166,1000640,0,0,0,1.4545391e-05,Low
167,1000648,0,0,0,7.953573e-06,Low
168,1000650,0,0,0,1.1442384e-05,Low
169,1000652,0,0,0,5.3363133e-06,Low
170,1000653,0,0,0,2.9038241e-05,Low
171,1000655,0,0,0,5.162888e-06,Low
172,1000659,0,0,0,1.1542447e-05,Low
173,1000662,0,0,0,8.684971e-06,Low
174,1000665,0,0,0,1.4140594e-05,Low
175,1000666,0,0,0,5.956105e-06,Low
176,1000668,0,0,0,6.8672985e-06,Low
177,1000670,0,0,0,2.0156895e-05,Low
178,1000673,0,0,0,4.905002e-06,Low
179,1000674,0,0,0,8.781541e-06,Low
180,1000675,0,0,0,2.6021822e-05,Low
181,1000677,0,0,0,1.1090279e-05,Low
182,1000679,0,0,0,1.2398968e-05,Low
183,1000680,0,0,0,5.647034e-06,Low
184,1000685,0,0,0,1.188482e-05,Low
185,1000686,0,0,0,1.3737103e-05,Low
186,1000688,0,0,0,6.3740613e-06,Low
187,1000689,0,0,0,8.95321e-06,Low
188,1000691,0,0,0,7.0455476e-06,Low
189,1000693,0,0,0,1.4762179e-05,Low
190,1000695,0,0,0,6.469685e-06,Low
191,1000696,0,0,0,6.8815116e-06,Low
192,1000697,0,0,0,5.144177e-06,Low
193,1000699,0,0,0,6.373812e-06,Low
194,1000700,0,0,0,8.71612e-06,Low
195,1000701,0,0,0,1.4255156e-05,Low
196,1000703,0,0,0,1.0935651e-05,Low
197,1000704,0,0,0,1.0428331e-05,Low
198,1000705,0,0,0,1.0494505e-05,Low
199,1000707,0,0,0,8.9737605e-06,Low
200,1000708,0,0,0,7.799151e-06,Low
201,1000710,0,0,0,2.1368985e-05,Low
202,1000711,0,0,0,1.7524388e-05,Low
203,1000713,0,0,0,8.448857e-06,Low
204,1000715,0,0,0,1.2930313e-05,Low
205,1000717,0,0,0,9.880612e-06,Low
206,1000718,0,0,0,7.6020897e-06,Low
207,1000719,0,0,0,1.1502043e-05,Low
208,1000720,0,0,0,1.6458904e-05,Low
209,1000721,0,0,0,1.3290752e-05,Low
210,1000722,0,0,0,9.995736e-06,Low
211,1000729,0,0,0,2.0088693e-05,Low
212,1000740,0,0,0,0.0031665466,Low
213,1000743,0,0,0,3.0473045e-06,Low
214,1000744,0,0,0,3.3576969e-06,Low
215,1000745,0,0,0,8.760044e-06,Low
216,1000746,0,0,0,1.8383205e-05,Low
217,1000751,0,0,0,4.8466504e-06,Low
218,1000753,0,0,0,1.5455269e-05,Low
219,1000754,0,0,0,6.1127134e-06,Low
220,1000757,0,0,0,1.859745e-05,Low
221,1000760,0,0,0,3.57714e-05,Low
222,1000761,0,0,0,1.4698052e-05,Low
223,1000763,0,0,0,3.682186e-05,Low
224,1000766,0,0,0,1.1720233e-05,Low
225,1000770,0,0,0,1.3633113e-05,Low
226,1000772,0,0,0,1.07253045e-05,Low
227,1000776,0,0,0,1.5145447e-05,Low
228,1000778,0,0,0,4.186077e-06,Low
229,1000779,0,0,0,1.42067875e-05,Low
230,1000780,0,0,0,7.907996e-06,Low
231,1000784,0,0,0,1.7112958e-05,Low
232,1000785,0,0,0,7.651023e-06,Low
233,1000788,0,0,0,7.110238e-06,Low
234,1000791,0,0,0,1.8959941e-05,Low
235,1000792,0,0,0,1.3169063e-05,Low
236,1000793,0,0,0,2.3412298e-05,Low
237,1000797,0,0,0,2.8058585e-06,Low
238,1000798,0,0,0,7.3278084e-06,Low
239,1000801,0,0,0,6.4505557e-06,Low
240,1000803,0,0,0,1.4783199e-05,Low
241,1000805,0,0,0,3.985495e-06,Low
242,1000807,0,0,0,7.3944775e-06,Low
243,1000810,0,0,0,4.4925587e-06,Low
244,1000813,0,0,0,1.201886e-05,Low
245,1000814,0,0,0,1.7501474e-05,Low
246,1000815,0,0,0,7.797001e-06,Low
247,1000817,0,0,0,8.444604e-06,Low
248,1000819,0,0,0,1.07555825e-05,Low
249,1000822,0,0,0,1.17629725e-05,Low
250,1000824,0,0,0,1.1150665e-05,Low
251,1000825,0,0,0,5.797385e-06,Low
252,1000826,0,0,0,7.344557e-06,Low
253,1000828,0,0,0,6.454845e-06,Low
254,1000829,0,0,0,1.2857297e-05,Low
255,1000831,0,0,0,3.713442e-06,Low
256,1000834,0,0,0,9.2903865e-06,Low
257,1000837,0,0,0,7.769797e-06,Low
258,1000838,0,0,0,4.384348e-06,Low
259,1000839,0,0,0,4.7386425e-06,Low
260,1000840,0,0,0,1.018679e-05,Low
261,1000841,0,0,0,8.115161e-06,Low
262,1000844,0,0,0,2.2951264e-05,Low
263,1000846,0,0,0,7.608966e-06,Low
264,1000848,0,0,0,7.608966e-06,Low
265,1000852,0,0,0,1.2900014e-05,Low
266,1000854,0,0,0,2.172562e-05,Low
267,1000855,0,0,0,2.5372035e-05,Low
268,1000857,0,0,0,1.3222949e-05,Low
269,1000858,0,0,0,1.2464185e-05,Low
270,1000859,0,0,0,4.204228e-05,Low
271,1000860,0,0,0,6.2503685e-05,Low
272,1000865,0,0,0,1.307436e-05,Low
273,1000867,0,0,0,1.1595781e-05,Low
274,1000869,0,0,0,1.08455015e-05,Low
275,1000871,0,0,0,8.351533e-06,Low
276,1000872,0,0,0,1.4506674e-05,Low
277,1000873,0,0,0,2.1923343e-05,Low
278,1000874,0,0,0,1.3307239e-05,Low
279,1000877,0,0,0,6.351883e-06,Low
280,1000880,0,0,0,1.2546724e-05,Low
281,1000882,0,0,0,1.5846734e-05,Low
282,1000886,0,0,0,1.29857735e-05,Low
283,1000891,0,0,0,7.283115e-06,Low
284,1000895,0,0,0,9.060458e-06,Low
285,1000899,0,0,0,7.648309e-06,Low
286,1000900,0,0,0,7.510478e-06,Low
287,1000901,0,0,0,3.7374982e-06,Low
288,1000902,0,0,0,6.4180954e-06,Low
289,1000904,0,0,0,1.6455011e-05,Low
290,1000905,0,0,0,6.721564e-06,Low
291,1000906,0,0,0,6.0819416e-06,Low
292,1000907,0,0,0,8.652168e-06,Low
293,1000908,0,0,0,9.377173e-06,Low
294,1000909,0,0,0,8.553301e-06,Low
295,1000914,0,0,0,8.208432e-06,Low
296,1000916,0,0,0,6.9250214e-06,Low
297,1000918,0,0,0,1.4478465e-05,Low
298,1000921,0,0,0,5.1764755e-06,Low
299,1000922,0,0,0,6.6974353e-06,Low
300,1000924,0,0,0,9.617018e-06,Low
301,1000925,0,0,0,1.0792242e-05,Low
302,1000926,0,0,0,1.4666407e-05,Low
303,1000927,0,0,0,9.922736e-06,Low
304,1000930,0,0,0,1.1986295e-05,Low
305,1000931,0,0,0,1.8070112e-05,Low
306,1000932,0,0,0,4.893657e-06,Low
307,1000935,0,0,0,1.099877e-05,Low
308,1000937,0,0,0,2.4763254e-05,Low
309,1000947,0,0,0,5.767568e-06,Low
310,1000948,0,0,0,0.00049573224,Low
311,1000949,0,0,0,5.167917e-06,Low
312,1000950,0,0,0,3.2312657e-06,Low
313,1000951,0,0,0,5.0388626e-06,Low
314,1000952,0,0,0,2.4327937e-06,Low
315,1000953,0,0,0,2.5179206e-06,Low
316,1000954,0,0,0,2.704889e-06,Low
317,1000955,0,0,0,3.3678762e-06,Low
318,1000956,0,0,0,2.238305e-06,Low
319,1000957,0,0,0,2.495671e-06,Low
320,1000958,0,0,0,3.205768e-06,Low
321,1000959,0,0,0,8.578781e-06,Low
322,1000960,0,0,0,7.44067e-06,Low
323,1000963,0,0,0,3.0485546e-06,Low
324,1000964,0,0,0,1.49844245e-05,Low
325,1000965,0,0,0,3.8708326e-06,Low
326,1000966,0,0,0,6.253517e-05,Low
327,1000967,0,0,0,1.9558816e-05,Low
328,1000968,0,0,0,7.186138e-06,Low
329,1000970,0,0,0,2.154868e-05,Low
330,1000972,0,0,0,1.1575075e-05,Low
331,1000973,0,0,0,1.1700242e-05,Low
332,1000974,0,0,0,2.2532355e-05,Low
333,1000975,0,0,0,1.4467037e-05,Low
334,1000977,0,0,0,2.8902312e-05,Low
335,1000978,0,0,0,1.9010708e-05,Low
336,1000981,0,0,0,7.858574e-06,Low
337,1000982,0,0,0,1.1670354e-05,Low
338,1000985,0,0,0,4.95583e-06,Low
339,1000987,0,0,0,2.3107457e-05,Low
340,1000989,0,0,0,7.648273e-06,Low
341,1000992,0,0,0,1.4424193e-05,Low
342,1000994,0,0,0,1.04022965e-05,Low
343,1000996,0,0,0,8.186535e-06,Low
344,1000997,0,0,0,9.59495e-06,Low
345,1000998,0,0,0,8.548677e-06,Low
346,1001001,0,0,0,8.815834e-06,Low
347,1001002,0,0,0,6.776271e-06,Low
348,1001004,0,0,0,6.9920725e-06,Low
349,1001005,0,0,0,7.3645183e-06,Low
350,1001006,0,0,0,1.058943e-05,Low
351,1001009,0,0,0,6.931655e-06,Low
352,1001011,0,0,0,1.23529735e-05,Low
353,1001012,0,0,0,6.039356e-06,Low
354,1001013,0,0,0,5.588115e-06,Low
355,1001016,0,0,0,7.341266e-06,Low
356,1001018,0,0,0,1.2585637e-05,Low
357,1001020,0,0,0,1.7000624e-05,Low
358,1001022,0,0,0,8.2618435e-06,Low
359,1001025,0,0,0,7.5655366e-06,Low
360,1001029,0,0,0,1.0989135e-05,Low
361,1001030,0,0,0,9.645234e-06,Low
362,1001032,0,0,0,1.2573123e-05,Low
363,1001034,0,0,0,1.5778169e-05,Low
364,1001036,0,0,0,7.40562e-06,Low
365,1001037,0,0,0,1.0789247e-05,Low
366,1001041,0,0,0,9.244367e-06,Low
367,1001042,0,0,0,7.90544e-06,Low
368,1001043,0,0,0,1.3495169e-05,Low
369,1001044,0,0,0,9.421634e-06,Low
370,1001045,0,0,0,1.647959e-05,Low
371,1001048,0,0,0,1.0474148e-05,Low
372,1001050,0,0,0,1.2292265e-05,Low
373,1001052,0,0,0,7.799894e-06,Low
374,1001053,0,0,0,7.838409e-06,Low
375,1001054,0,0,0,1.5291944e-05,Low
376,1001056,0,0,0,7.281587e-06,Low
377,1001057,0,0,0,5.892725e-06,Low
378,1001058,0,0,0,9.253867e-06,Low
379,1001060,0,0,0,1.0022913e-05,Low
380,1001061,0,0,0,9.402515e-06,Low
381,1001063,0,0,0,9.553187e-06,Low
382,1001064,0,0,0,1.1325278e-05,Low
383,1001065,0,0,0,6.202009e-06,Low
384,1001066,0,0,0,5.4034085e-06,Low
385,1001067,0,0,0,5.8678424e-06,Low
386,1001069,0,0,0,1.0977959e-05,Low
387,1001070,0,0,0,6.1966584e-06,Low
388,1001076,0,0,0,6.775503e-06,Low
389,1001077,0,0,0,3.6511667e-06,Low
390,1001078,0,0,0,9.365028e-06,Low
391,1001080,0,0,0,7.840719e-06,Low
392,1001081,0,0,0,1.3212449e-05,Low
393,1001082,0,0,0,7.979555e-06,Low
394,1001086,0,0,0,1.6737265e-05,Low
395,1001087,0,0,0,6.0225098e-06,Low
396,1001088,0,0,0,5.429774e-06,Low
397,1001089,0,0,0,1.4992858e-05,Low
398,1001090,0,0,0,5.244616e-06,Low
399,1001091,0,0,0,9.148778e-06,Low
400,1001092,0,0,0,6.070202e-06,Low
401,1001093,0,0,0,8.902254e-06,Low
402,1001095,0,0,0,1.2920132e-05,Low
403,1001096,0,0,0,1.281982e-05,Low
404,1001098,0,0,0,1.2970971e-05,Low
405,1001100,0,0,0,1.5405163e-05,Low
406,1001102,0,0,0,1.0127286e-05,Low
407,1001103,0,0,0,9.371452e-06,Low
408,1001104,0,0,0,7.269341e-06,Low
409,1001106,0,0,0,1.5891288e-05,Low
410,1001107,0,0,0,8.236543e-06,Low
411,1001109,0,0,0,5.7684256e-06,Low
412,1001111,0,0,0,7.300626e-06,Low
413,1001112,0,0,0,1.0239834e-05,Low
414,1001113,0,0,0,7.5207063e-06,Low
415,1001114,0,0,0,1.1546972e-05,Low
416,1001120,0,0,0,9.121301e-06,Low
417,1001123,0,0,0,2.1589984e-05,Low
418,1001125,0,0,0,2.317229e-05,Low
419,1001132,0,0,0,8.9346595e-06,Low
420,1001133,0,0,0,1.1595781e-05,Low
421,1001135,0,0,0,0.0115447445,Low
422,1001136,0,0,0,1.10800775e-05,Low
423,1001139,0,0,0,9.890059e-06,Low
424,1001151,0,0,0,1.0344021e-05,Low
425,1001152,0,0,0,6.727131e-05,Low
426,1001155,0,0,0,1.636868e-05,Low
427,1001158,0,0,0,7.826174e-06,Low
428,1001165,0,0,0,5.490572e-06,Low
429,1001166,0,0,0,6.12314e-06,Low
430,1001167,0,0,0,3.3875498e-05,Low
431,1001173,0,0,0,7.0186284e-06,Low
432,1001176,0,0,0,7.1070726e-06,Low
433,1001177,0,0,0,2.4293939e-05,Low
434,1001179,0,0,0,1.8159442e-05,Low
435,1001180,0,0,0,6.7566934e-06,Low
436,1001181,0,0,0,7.1188083e-06,Low
437,1001185,0,0,0,9.718027e-06,Low
438,1001187,0,0,0,8.45142e-06,Low
439,1001192,0,0,0,9.6303165e-06,Low
440,1001193,0,0,0,2.079554e-05,Low
441,1001196,0,0,0,9.918007e-06,Low
442,1001197,0,0,0,1.2011801e-05,Low
443,1001200,0,0,0,6.107062e-06,Low
444,1001202,0,0,0,7.372466e-06,Low
445,1001203,0,0,0,7.808021e-06,Low
446,1001206,0,0,0,1.01134265e-05,Low
447,1001208,0,0,0,6.555743e-06,Low
448,1001212,0,0,0,6.576131e-06,Low
449,1001213,0,0,0,9.393544e-06,Low
450,1001217,0,0,0,1.0428092e-05,Low
451,1001218,0,0,0,1.3762029e-05,Low
452,1001219,0,0,0,0.91013366,Top
453,1001224,0,0,0,5.991152e-05,Low
454,1001226,0,0,0,1.0471422e-05,Low
455,1001229,0,0,0,4.5672637e-06,Low
456,1001230,0,0,0,1.3740391e-05,Low
457,1001235,0,0,0,4.5734964e-06,Low
458,1001237,0,0,0,5.2011633e-06,Low
459,1001238,0,0,0,5.0000504e-06,Low
460,1001239,0,0,0,8.905608e-06,Low
461,1001241,0,0,0,2.3168071e-05,Low
462,1001243,0,0,0,1.8336736e-05,Low
463,1001245,0,0,0,1.9703213e-05,Low
464,1001247,0,0,0,2.142328e-05,Low
465,1001254,0,0,0,1.2747477e-05,Low
466,1001257,0,0,0,1.4065346e-05,Low
467,1001261,0,0,0,1.1347256e-05,Low
468,1001264,0,0,0,8.161232e-06,Low
469,1001265,0,0,0,7.340566e-06,Low
470,1001266,0,0,0,2.8254277e-05,Low
471,1001268,0,0,0,8.718389e-06,Low
472,1001269,0,0,0,7.0639344e-06,Low
473,1001272,0,0,0,1.0233898e-05,Low
474,1001281,0,0,0,1.5280297e-05,Low
475,1001282,0,0,0,1.1609147e-05,Low
476,1001284,0,0,0,7.316698e-06,Low
477,1001287,0,0,0,1.0646215e-05,Low
478,1001289,0,0,0,1.4910913e-05,Low
479,1001290,0,0,0,6.297327e-06,Low
480,1001292,0,0,0,2.243257e-05,Low
481,1001294,0,0,0,1.3907355e-05,Low
482,1001297,0,0,0,1.4715668e-05,Low
483,1001298,0,0,0,1.6264752e-05,Low
484,1001301,0,0,0,1.3007625e-05,Low
485,1001303,0,0,0,9.3155295e-06,Low
486,1001304,0,0,0,5.2339087e-06,Low
487,1001305,0,0,0,1.8960574e-05,Low
488,1001308,0,0,0,1.6822381e-05,Low
489,1001314,0,0,0,1.0808876e-05,Low
490,1001316,0,0,0,7.580747e-06,Low
491,1001317,0,0,0,2.1748672e-05,Low
492,1001318,0,0,0,1.225051e-05,Low
493,1001321,0,0,0,8.142589e-06,Low
494,1001322,0,0,0,1.2777356e-05,Low
495,1001323,0,0,0,5.6025387e-06,Low
496,1001326,0,0,0,4.019129e-06,Low
497,1001329,0,0,0,6.0018747e-06,Low
498,1001331,0,0,0,6.9842613e-06,Low
499,1001342,0,0,0,7.932091e-06,Low
500,1001343,0,0,0,7.932091e-06,Low
501,1001345,0,0,0,2.9003113e-06,Low
502,1001346,0,0,0,2.902229e-06,Low
503,1001347,0,0,0,4.8103557e-06,Low
504,1001350,0,0,0,2.004982e-05,Low
505,1001353,0,0,0,1.4073275e-05,Low
506,1001354,0,0,0,3.248847e-05,Low
507,1001357,0,0,0,1.3004809e-05,Low
508,1001359,0,0,0,2.6878639e-05,Low
509,1001361,0,0,0,3.325879e-05,Low
510,1001364,0,0,0,5.224538e-06,Low
511,1001365,0,0,0,3.0448233e-05,Low
512,1001366,0,0,0,8.337774e-06,Low
513,1001367,0,0,0,1.1686693e-05,Low
514,1001368,0,0,0,1.8729943e-05,Low
515,1001373,0,0,0,9.409422e-06,Low
516,1001375,0,0,0,1.02712975e-05,Low
517,1001376,0,0,0,7.303515e-06,Low
518,1001378,0,0,0,8.483478e-06,Low
519,1001379,0,0,0,4.2033867e-06,Low
520,1001386,0,0,0,2.5313355e-05,Low
521,1001387,0,0,0,1.1314299e-05,Low
522,1001388,0,0,0,7.2776643e-06,Low
523,1001389,0,0,0,6.755012e-06,Low
524,1001390,0,0,0,6.3261778e-06,Low
525,1001392,0,0,0,6.644802e-06,Low
526,1001393,0,0,0,7.829996e-06,Low
527,1001396,0,0,0,9.813964e-06,Low
528,1001397,0,0,0,8.1098615e-06,Low
529,1001398,0,0,0,7.506276e-06,Low
530,1001399,0,0,0,1.0035069e-05,Low
531,1001400,0,0,0,9.157333e-06,Low
532,1001406,0,0,0,1.2562444e-05,Low
533,1001407,0,0,0,2.1520751e-05,Low
534,1001409,0,0,0,8.98923e-06,Low
535,1001411,0,0,0,2.1124486e-05,Low
536,1001414,0,0,0,1.0577137e-05,Low
537,1001417,0,0,0,1.2132386e-05,Low
538,1001418,0,0,0,1.4389322e-05,Low
539,1001419,0,0,0,2.179778e-05,Low
540,1001420,0,0,0,7.6160727e-06,Low
541,1001422,0,0,0,9.992525e-06,Low
542,1001423,0,0,0,9.8632145e-06,Low
543,1001424,0,0,0,4.559256e-06,Low
544,1001430,0,0,0,7.861601e-06,Low
545,1001431,0,0,0,1.1427716e-05,Low
546,1001434,0,0,0,0.94267774,Top
547,1001439,0,0,0,9.544472e-06,Low
548,1001444,0,0,0,8.495615e-06,Low
549,1001447,0,0,0,1.9396453e-05,Low
550,1001448,0,0,0,1.403671e-05,Low
551,1001450,0,0,0,4.1142116e-06,Low
552,1001451,0,0,0,8.21302e-06,Low
553,1001452,0,0,0,2.01372e-05,Low
554,1001455,0,0,0,9.928691e-06,Low
555,1001458,0,0,0,3.4266525e-06,Low
556,1001459,0,0,0,5.5473256e-06,Low
557,1001460,0,0,0,3.2629691e-06,Low
558,1001461,0,0,0,6.9514617e-06,Low
559,1001464,0,0,0,1.7752427e-05,Low
560,1001468,0,0,0,9.346514e-06,Low
561,1001469,0,0,0,2.2708531e-05,Low
562,1001470,0,0,0,1.0666175e-05,Low
563,1001471,0,0,0,4.8243215e-05,Low
564,1001472,0,0,0,4.8350346e-05,Low
565,1001484,0,0,0,1.7727474e-05,Low
566,1001486,0,0,0,9.922736e-06,Low
567,1001487,0,0,0,1.2719111e-05,Low
568,1001489,0,0,0,6.891402e-06,Low
569,1001491,0,0,0,2.182078e-05,Low
570,1001494,0,0,0,5.9606623e-06,Low
571,1001497,0,0,0,6.6546377e-06,Low
572,1001498,0,0,0,6.7709298e-06,Low
573,1001500,0,0,0,0.8227931,Top
574,1001505,0,0,0,8.705071e-06,Low
575,1001506,0,0,0,1.239035e-05,Low
576,1001507,0,0,0,1.0194701e-05,Low
577,1001508,0,0,0,8.655989e-06,Low
578,1001509,0,0,0,6.269935e-06,Low
579,1001511,0,0,0,5.1050265e-06,Low
580,1001512,0,0,0,1.511111e-05,Low
581,1001513,0,0,0,6.3970383e-06,Low
582,1001516,0,0,0,6.8124664e-06,Low
583,1001519,0,0,0,1.5143583e-05,Low
584,1001520,0,0,0,2.2322924e-05,Low
585,1001522,0,0,0,6.81517e-06,Low
586,1001528,0,0,0,5.355406e-06,Low
587,1001529,0,0,0,1.26521845e-05,Low
588,1001532,0,0,0,1.6650469e-05,Low
589,1001533,0,0,0,7.0403617e-06,Low
