pk_cid,cluster,cluster_name
1000028,4,Alto Valor Principal
1000096,3,Profesionales Dormidos
1000113,3,Profesionales Dormidos
1000130,3,Profesionales Dormidos
1000157,4,Alto Valor Principal
1000162,7,Valor Medio-Alto
1000217,4,Alto Valor Principal
1000306,7,Valor Medio-Alto
1000381,6,Alto Potencial Virgen
1000383,6,Alto Potencial Virgen
1000384,5,Jóvenes Activos Básicos
1000385,2,Inactivos Totales
1000386,1,Universitarios Estándar
1000387,1,Universitarios Estándar
1000388,2,Inactivos Totales
1000389,1,Universitarios Estándar
1000390,5,Jóvenes Activos Básicos
1000391,7,Valor Medio-Alto
1000392,6,Alto Potencial Virgen
1000393,2,Inactivos Totales
1000394,5,Jóvenes Activos Básicos
1000397,1,Universitarios Estándar
1000398,2,Inactivos Totales
1000399,5,Jóvenes Activos Básicos
1000400,1,Universitarios Estándar
1000401,6,Alto Potencial Virgen
1000402,3,Profesionales Dormidos
1000403,1,Universitarios Estándar
1000404,5,Jóvenes Activos Básicos
1000406,6,Alto Potencial Virgen
1000407,3,Profesionales Dormidos
1000408,6,Alto Potencial Virgen
1000409,5,Jóvenes Activos Básicos
1000410,1,Universitarios Estándar
1000411,2,Inactivos Totales
1000412,2,Inactivos Totales
1000413,2,Inactivos Totales
1000414,3,Profesionales Dormidos
1000415,3,Profesionales Dormidos
1000416,3,Profesionales Dormidos
1000417,5,Jóvenes Activos Básicos
1000419,1,Universitarios Estándar
1000423,4,Alto Valor Principal
1000424,4,Alto Valor Principal
1000425,4,Alto Valor Principal
1000426,4,Alto Valor Principal
1000430,5,Jóvenes Activos Básicos
1000431,5,Jóvenes Activos Básicos
1000432,7,Valor Medio-Alto
1000433,5,Jóvenes Activos Básicos
1000435,1,Universitarios Estándar
1000436,2,Inactivos Totales
1000437,5,Jóvenes Activos Básicos
1000438,4,Alto Valor Principal
1000439,7,Valor Medio-Alto
1000440,5,Jóvenes Activos Básicos
1000441,7,Valor Medio-Alto
1000442,5,Jóvenes Activos Básicos
1000443,5,Jóvenes Activos Básicos
1000444,5,Jóvenes Activos Básicos
1000447,7,Valor Medio-Alto
1000449,7,Valor Medio-Alto
1000450,5,Jóvenes Activos Básicos
1000451,7,Valor Medio-Alto
1000452,5,Jóvenes Activos Básicos
1000453,5,Jóvenes Activos Básicos
1000454,5,Jóvenes Activos Básicos
1000455,5,Jóvenes Activos Básicos
1000456,5,Jóvenes Activos Básicos
1000457,5,Jóvenes Activos Básicos
1000458,5,Jóvenes Activos Básicos
1000460,5,Jóvenes Activos Básicos
1000461,5,Jóvenes Activos Básicos
1000462,5,Jóvenes Activos Básicos
1000464,5,Jóvenes Activos Básicos
1000465,5,Jóvenes Activos Básicos
1000466,5,Jóvenes Activos Básicos
1000467,5,Jóvenes Activos Básicos
1000468,1,Universitarios Estándar
1000469,5,Jóvenes Activos Básicos
1000470,5,Jóvenes Activos Básicos
1000471,5,Jóvenes Activos Básicos
1000472,5,Jóvenes Activos Básicos
1000473,7,Valor Medio-Alto
1000474,5,Jóvenes Activos Básicos
1000475,5,Jóvenes Activos Básicos
1000476,4,Alto Valor Principal
1000477,5,Jóvenes Activos Básicos
1000478,8,Emergentes Premium
1000479,5,Jóvenes Activos Básicos
1000480,5,Jóvenes Activos Básicos
1000481,8,Emergentes Premium
1000482,7,Valor Medio-Alto
1000483,7,Valor Medio-Alto
1000485,3,Profesionales Dormidos
1000486,7,Valor Medio-Alto
1000487,3,Profesionales Dormidos
1000488,7,Valor Medio-Alto
1000490,3,Profesionales Dormidos
1000492,3,Profesionales Dormidos
1000493,4,Alto Valor Principal
1000494,3,Profesionales Dormidos
1000495,8,Emergentes Premium
1000497,7,Valor Medio-Alto
1000498,4,Alto Valor Principal
1000499,7,Valor Medio-Alto
1000501,4,Alto Valor Principal
1000502,8,Emergentes Premium
1000503,4,Alto Valor Principal
1000504,3,Profesionales Dormidos
1000505,8,Emergentes Premium
1000509,4,Alto Valor Principal
1000512,3,Profesionales Dormidos
1000513,3,Profesionales Dormidos
1000514,7,Valor Medio-Alto
1000515,4,Alto Valor Principal
1000516,4,Alto Valor Principal
1000517,3,Profesionales Dormidos
1000518,3,Profesionales Dormidos
1000520,7,Valor Medio-Alto
1000522,3,Profesionales Dormidos
1000523,7,Valor Medio-Alto
1000524,7,Valor Medio-Alto
1000525,7,Valor Medio-Alto
1000527,4,Alto Valor Principal
1000528,8,Emergentes Premium
1000529,7,Valor Medio-Alto
1000530,7,Valor Medio-Alto
1000531,3,Profesionales Dormidos
1000532,3,Profesionales Dormidos
1000533,7,Valor Medio-Alto
1000534,4,Alto Valor Principal
1000536,4,Alto Valor Principal
1000537,4,Alto Valor Principal
1000538,3,Profesionales Dormidos
1000539,4,Alto Valor Principal
1000541,5,Jóvenes Activos Básicos
1000542,3,Profesionales Dormidos
1000543,4,Alto Valor Principal
1000547,7,Valor Medio-Alto
1000548,8,Emergentes Premium
1000549,3,Profesionales Dormidos
1000550,7,Valor Medio-Alto
1000551,8,Emergentes Premium
1000552,4,Alto Valor Principal
1000554,3,Profesionales Dormidos
1000555,4,Alto Valor Principal
1000556,7,Valor Medio-Alto
1000557,7,Valor Medio-Alto
1000558,4,Alto Valor Principal
1000559,8,Emergentes Premium
1000561,3,Profesionales Dormidos
1000564,3,Profesionales Dormidos
1000565,3,Profesionales Dormidos
1000566,3,Profesionales Dormidos
1000567,7,Valor Medio-Alto
1000569,3,Profesionales Dormidos
1000571,4,Alto Valor Principal
1000572,2,Inactivos Totales
1000573,5,Jóvenes Activos Básicos
1000575,5,Jóvenes Activos Básicos
1000576,7,Valor Medio-Alto
1000577,7,Valor Medio-Alto
1000578,5,Jóvenes Activos Básicos
1000579,5,Jóvenes Activos Básicos
1000580,1,Universitarios Estándar
1000582,4,Alto Valor Principal
1000584,7,Valor Medio-Alto
1000585,4,Alto Valor Principal
1000586,3,Profesionales Dormidos
1000587,4,Alto Valor Principal
1000589,4,Alto Valor Principal
1000590,4,Alto Valor Principal
1000591,8,Emergentes Premium
1000592,4,Alto Valor Principal
1000594,7,Valor Medio-Alto
1000595,7,Valor Medio-Alto
1000597,4,Alto Valor Principal
1000598,4,Alto Valor Principal
1000599,7,Valor Medio-Alto
1000601,7,Valor Medio-Alto
1000603,4,Alto Valor Principal
1000605,5,Jóvenes Activos Básicos
1000606,5,Jóvenes Activos Básicos
1000607,5,Jóvenes Activos Básicos
1000608,4,Alto Valor Principal
1000610,4,Alto Valor Principal
1000612,5,Jóvenes Activos Básicos
1000613,5,Jóvenes Activos Básicos
1000616,5,Jóvenes Activos Básicos
1000619,5,Jóvenes Activos Básicos
1000621,1,Universitarios Estándar
1000622,8,Emergentes Premium
1000623,4,Alto Valor Principal
1000625,7,Valor Medio-Alto
1000626,5,Jóvenes Activos Básicos
1000628,5,Jóvenes Activos Básicos
1000631,8,Emergentes Premium
1000634,5,Jóvenes Activos Básicos
1000639,8,Emergentes Premium
1000640,2,Inactivos Totales
1000641,7,Valor Medio-Alto
1000646,4,Alto Valor Principal
1000647,8,Emergentes Premium
1000648,1,Universitarios Estándar
1000650,7,Valor Medio-Alto
1000651,1,Universitarios Estándar
1000652,2,Inactivos Totales
1000653,7,Valor Medio-Alto
1000655,3,Profesionales Dormidos
1000659,7,Valor Medio-Alto
1000661,8,Emergentes Premium
1000662,3,Profesionales Dormidos
1000663,5,Jóvenes Activos Básicos
1000665,3,Profesionales Dormidos
1000666,7,Valor Medio-Alto
1000667,4,Alto Valor Principal
1000668,3,Profesionales Dormidos
1000669,7,Valor Medio-Alto
1000670,7,Valor Medio-Alto
1000671,8,Emergentes Premium
1000672,4,Alto Valor Principal
1000673,4,Alto Valor Principal
1000674,7,Valor Medio-Alto
1000675,7,Valor Medio-Alto
1000677,3,Profesionales Dormidos
1000678,4,Alto Valor Principal
1000679,3,Profesionales Dormidos
1000680,3,Profesionales Dormidos
1000683,7,Valor Medio-Alto
1000684,7,Valor Medio-Alto
1000685,3,Profesionales Dormidos
1000686,7,Valor Medio-Alto
1000688,4,Alto Valor Principal
1000689,4,Alto Valor Principal
1000691,3,Profesionales Dormidos
1000693,4,Alto Valor Principal
1000695,3,Profesionales Dormidos
1000696,3,Profesionales Dormidos
1000697,7,Valor Medio-Alto
1000699,7,Valor Medio-Alto
1000700,3,Profesionales Dormidos
1000701,3,Profesionales Dormidos
1000703,4,Alto Valor Principal
1000704,4,Alto Valor Principal
1000705,3,Profesionales Dormidos
1000707,4,Alto Valor Principal
1000708,7,Valor Medio-Alto
1000709,8,Emergentes Premium
1000710,3,Profesionales Dormidos
1000711,3,Profesionales Dormidos
1000712,4,Alto Valor Principal
1000713,3,Profesionales Dormidos
1000715,3,Profesionales Dormidos
1000716,7,Valor Medio-Alto
1000717,7,Valor Medio-Alto
1000718,5,Jóvenes Activos Básicos
1000719,3,Profesionales Dormidos
1000720,3,Profesionales Dormidos
1000721,3,Profesionales Dormidos
1000722,3,Profesionales Dormidos
1000723,4,Alto Valor Principal
1000727,4,Alto Valor Principal
1000729,4,Alto Valor Principal
1000730,4,Alto Valor Principal
1000734,4,Alto Valor Principal
1000735,7,Valor Medio-Alto
1000739,4,Alto Valor Principal
1000740,4,Alto Valor Principal
1000741,7,Valor Medio-Alto
1000743,5,Jóvenes Activos Básicos
1000744,5,Jóvenes Activos Básicos
1000745,6,Alto Potencial Virgen
1000746,3,Profesionales Dormidos
1000749,4,Alto Valor Principal
1000750,4,Alto Valor Principal
1000751,4,Alto Valor Principal
1000753,4,Alto Valor Principal
1000754,4,Alto Valor Principal
1000757,7,Valor Medio-Alto
1000760,4,Alto Valor Principal
1000761,8,Emergentes Premium
1000763,4,Alto Valor Principal
1000766,4,Alto Valor Principal
1000767,8,Emergentes Premium
1000770,3,Profesionales Dormidos
1000772,4,Alto Valor Principal
1000774,7,Valor Medio-Alto
1000776,7,Valor Medio-Alto
1000777,7,Valor Medio-Alto
1000778,4,Alto Valor Principal
1000779,3,Profesionales Dormidos
1000780,3,Profesionales Dormidos
1000782,5,Jóvenes Activos Básicos
1000784,7,Valor Medio-Alto
1000785,3,Profesionales Dormidos
1000788,3,Profesionales Dormidos
1000789,4,Alto Valor Principal
1000791,7,Valor Medio-Alto
1000792,7,Valor Medio-Alto
1000793,4,Alto Valor Principal
1000795,7,Valor Medio-Alto
1000796,4,Alto Valor Principal
1000797,3,Profesionales Dormidos
1000798,4,Alto Valor Principal
1000800,7,Valor Medio-Alto
1000801,3,Profesionales Dormidos
1000803,7,Valor Medio-Alto
1000805,3,Profesionales Dormidos
1000806,8,Emergentes Premium
1000807,3,Profesionales Dormidos
1000808,8,Emergentes Premium
1000809,7,Valor Medio-Alto
1000810,3,Profesionales Dormidos
1000811,4,Alto Valor Principal
1000813,7,Valor Medio-Alto
1000814,7,Valor Medio-Alto
1000815,3,Profesionales Dormidos
1000817,4,Alto Valor Principal
1000819,7,Valor Medio-Alto
1000822,4,Alto Valor Principal
1000824,3,Profesionales Dormidos
1000825,2,Inactivos Totales
1000826,3,Profesionales Dormidos
1000828,4,Alto Valor Principal
1000829,4,Alto Valor Principal
1000831,4,Alto Valor Principal
1000832,4,Alto Valor Principal
1000834,7,Valor Medio-Alto
1000835,7,Valor Medio-Alto
1000837,7,Valor Medio-Alto
1000838,3,Profesionales Dormidos
1000839,4,Alto Valor Principal
1000840,7,Valor Medio-Alto
1000841,3,Profesionales Dormidos
1000842,7,Valor Medio-Alto
1000844,3,Profesionales Dormidos
1000846,7,Valor Medio-Alto
1000848,7,Valor Medio-Alto
1000852,3,Profesionales Dormidos
1000854,5,Jóvenes Activos Básicos
1000855,7,Valor Medio-Alto
1000857,3,Profesionales Dormidos
1000858,3,Profesionales Dormidos
1000859,3,Profesionales Dormidos
1000860,4,Alto Valor Principal
1000864,4,Alto Valor Principal
1000865,7,Valor Medio-Alto
1000867,3,Profesionales Dormidos
1000869,3,Profesionales Dormidos
1000871,4,Alto Valor Principal
1000872,7,Valor Medio-Alto
1000873,7,Valor Medio-Alto
1000874,7,Valor Medio-Alto
1000877,6,Alto Potencial Virgen
1000880,3,Profesionales Dormidos
1000882,4,Alto Valor Principal
1000886,7,Valor Medio-Alto
1000887,4,Alto Valor Principal
1000888,7,Valor Medio-Alto
1000891,3,Profesionales Dormidos
1000892,4,Alto Valor Principal
1000894,7,Valor Medio-Alto
1000895,3,Profesionales Dormidos
1000896,1,Universitarios Estándar
1000897,7,Valor Medio-Alto
1000899,7,Valor Medio-Alto
1000900,3,Profesionales Dormidos
1000901,3,Profesionales Dormidos
1000902,6,Alto Potencial Virgen
1000903,7,Valor Medio-Alto
1000904,3,Profesionales Dormidos
1000905,3,Profesionales Dormidos
1000906,4,Alto Valor Principal
1000907,3,Profesionales Dormidos
1000908,3,Profesionales Dormidos
1000909,8,Emergentes Premium
1000914,3,Profesionales Dormidos
1000916,4,Alto Valor Principal
1000918,3,Profesionales Dormidos
1000920,4,Alto Valor Principal
1000921,2,Inactivos Totales
1000922,3,Profesionales Dormidos
1000924,7,Valor Medio-Alto
1000925,3,Profesionales Dormidos
1000926,7,Valor Medio-Alto
1000927,4,Alto Valor Principal
1000928,7,Valor Medio-Alto
1000930,4,Alto Valor Principal
1000931,7,Valor Medio-Alto
1000932,3,Profesionales Dormidos
1000934,4,Alto Valor Principal
1000935,3,Profesionales Dormidos
1000937,7,Valor Medio-Alto
1000942,4,Alto Valor Principal
1000947,7,Valor Medio-Alto
1000948,7,Valor Medio-Alto
1000949,3,Profesionales Dormidos
1000950,1,Universitarios Estándar
1000951,5,Jóvenes Activos Básicos
1000952,5,Jóvenes Activos Básicos
1000953,5,Jóvenes Activos Básicos
1000954,5,Jóvenes Activos Básicos
1000955,5,Jóvenes Activos Básicos
1000956,5,Jóvenes Activos Básicos
1000957,5,Jóvenes Activos Básicos
1000958,5,Jóvenes Activos Básicos
1000959,3,Profesionales Dormidos
1000960,7,Valor Medio-Alto
1000963,5,Jóvenes Activos Básicos
1000964,4,Alto Valor Principal
1000965,4,Alto Valor Principal
1000966,3,Profesionales Dormidos
1000967,4,Alto Valor Principal
1000968,7,Valor Medio-Alto
1000969,7,Valor Medio-Alto
1000970,4,Alto Valor Principal
1000972,3,Profesionales Dormidos
1000973,7,Valor Medio-Alto
1000974,7,Valor Medio-Alto
1000975,3,Profesionales Dormidos
1000977,8,Emergentes Premium
1000978,3,Profesionales Dormidos
1000981,3,Profesionales Dormidos
1000982,3,Profesionales Dormidos
1000983,1,Universitarios Estándar
1000985,3,Profesionales Dormidos
1000987,3,Profesionales Dormidos
1000988,4,Alto Valor Principal
1000989,8,Emergentes Premium
1000992,7,Valor Medio-Alto
1000994,4,Alto Valor Principal
1000996,4,Alto Valor Principal
1000997,3,Profesionales Dormidos
1000998,4,Alto Valor Principal
1001001,3,Profesionales Dormidos
1001002,4,Alto Valor Principal
1001004,3,Profesionales Dormidos
1001005,4,Alto Valor Principal
1001006,3,Profesionales Dormidos
1001007,4,Alto Valor Principal
1001009,3,Profesionales Dormidos
1001010,4,Alto Valor Principal
1001011,4,Alto Valor Principal
1001012,3,Profesionales Dormidos
1001013,3,Profesionales Dormidos
1001015,8,Emergentes Premium
1001016,4,Alto Valor Principal
1001018,4,Alto Valor Principal
1001020,4,Alto Valor Principal
1001022,4,Alto Valor Principal
1001025,3,Profesionales Dormidos
1001027,4,Alto Valor Principal
1001028,8,Emergentes Premium
1001029,7,Valor Medio-Alto
1001030,3,Profesionales Dormidos
1001032,7,Valor Medio-Alto
1001034,4,Alto Valor Principal
1001035,5,Jóvenes Activos Básicos
1001036,7,Valor Medio-Alto
1001037,4,Alto Valor Principal
1001038,8,Emergentes Premium
1001041,3,Profesionales Dormidos
1001042,3,Profesionales Dormidos
1001043,7,Valor Medio-Alto
1001044,7,Valor Medio-Alto
1001045,7,Valor Medio-Alto
1001047,7,Valor Medio-Alto
1001048,3,Profesionales Dormidos
1001050,5,Jóvenes Activos Básicos
1001051,7,Valor Medio-Alto
1001052,7,Valor Medio-Alto
1001053,3,Profesionales Dormidos
1001054,4,Alto Valor Principal
1001056,8,Emergentes Premium
1001057,3,Profesionales Dormidos
1001058,3,Profesionales Dormidos
1001059,5,Jóvenes Activos Básicos
100106,4,Alto Valor Principal
1001060,3,Profesionales Dormidos
1001061,1,Universitarios Estándar
1001062,7,Valor Medio-Alto
1001063,3,Profesionales Dormidos
1001064,4,Alto Valor Principal
1001065,3,Profesionales Dormidos
1001066,3,Profesionales Dormidos
1001067,3,Profesionales Dormidos
1001069,3,Profesionales Dormidos
1001070,3,Profesionales Dormidos
1001071,4,Alto Valor Principal
1001076,7,Valor Medio-Alto
1001077,3,Profesionales Dormidos
1001078,5,Jóvenes Activos Básicos
1001080,3,Profesionales Dormidos
1001081,3,Profesionales Dormidos
1001082,3,Profesionales Dormidos
1001084,8,Emergentes Premium
1001086,3,Profesionales Dormidos
1001087,4,Alto Valor Principal
1001088,3,Profesionales Dormidos
1001089,7,Valor Medio-Alto
1001090,3,Profesionales Dormidos
1001091,3,Profesionales Dormidos
1001092,3,Profesionales Dormidos
1001093,3,Profesionales Dormidos
1001095,4,Alto Valor Principal
1001096,3,Profesionales Dormidos
1001098,7,Valor Medio-Alto
1001100,3,Profesionales Dormidos
1001101,7,Valor Medio-Alto
1001102,3,Profesionales Dormidos
1001103,4,Alto Valor Principal
1001104,7,Valor Medio-Alto
1001105,5,Jóvenes Activos Básicos
1001106,3,Profesionales Dormidos
1001107,3,Profesionales Dormidos
1001108,7,Valor Medio-Alto
1001109,3,Profesionales Dormidos
1001111,3,Profesionales Dormidos
1001112,1,Universitarios Estándar
1001113,7,Valor Medio-Alto
1001114,7,Valor Medio-Alto
1001117,4,Alto Valor Principal
1001120,3,Profesionales Dormidos
1001122,7,Valor Medio-Alto
1001123,3,Profesionales Dormidos
1001124,7,Valor Medio-Alto
1001125,4,Alto Valor Principal
1001132,3,Profesionales Dormidos
1001133,3,Profesionales Dormidos
1001135,1,Universitarios Estándar
1001136,2,Inactivos Totales
1001137,4,Alto Valor Principal
1001139,4,Alto Valor Principal
1001143,4,Alto Valor Principal
1001147,7,Valor Medio-Alto
1001149,4,Alto Valor Principal
1001150,7,Valor Medio-Alto
1001151,3,Profesionales Dormidos
1001152,4,Alto Valor Principal
1001154,4,Alto Valor Principal
1001155,7,Valor Medio-Alto
1001158,3,Profesionales Dormidos
1001159,4,Alto Valor Principal
1001161,4,Alto Valor Principal
1001162,7,Valor Medio-Alto
1001165,4,Alto Valor Principal
1001166,8,Emergentes Premium
1001167,4,Alto Valor Principal
1001171,4,Alto Valor Principal
1001173,3,Profesionales Dormidos
1001176,4,Alto Valor Principal
1001177,7,Valor Medio-Alto
1001178,7,Valor Medio-Alto
1001179,7,Valor Medio-Alto
1001180,4,Alto Valor Principal
1001181,3,Profesionales Dormidos
1001183,8,Emergentes Premium
1001184,4,Alto Valor Principal
1001185,4,Alto Valor Principal
1001187,7,Valor Medio-Alto
1001188,1,Universitarios Estándar
1001192,3,Profesionales Dormidos
1001193,7,Valor Medio-Alto
1001196,3,Profesionales Dormidos
1001197,4,Alto Valor Principal
1001200,3,Profesionales Dormidos
1001202,4,Alto Valor Principal
1001203,7,Valor Medio-Alto
1001206,3,Profesionales Dormidos
1001208,3,Profesionales Dormidos
1001211,7,Valor Medio-Alto
1001212,3,Profesionales Dormidos
1001213,3,Profesionales Dormidos
1001216,4,Alto Valor Principal
1001217,7,Valor Medio-Alto
1001218,4,Alto Valor Principal
1001219,4,Alto Valor Principal
1001220,4,Alto Valor Principal
1001223,7,Valor Medio-Alto
1001224,4,Alto Valor Principal
1001225,4,Alto Valor Principal
1001226,5,Jóvenes Activos Básicos
1001228,4,Alto Valor Principal
1001229,4,Alto Valor Principal
1001230,3,Profesionales Dormidos
1001232,4,Alto Valor Principal
1001235,4,Alto Valor Principal
1001237,3,Profesionales Dormidos
1001238,3,Profesionales Dormidos
1001239,7,Valor Medio-Alto
1001241,1,Universitarios Estándar
1001242,4,Alto Valor Principal
1001243,7,Valor Medio-Alto
1001245,4,Alto Valor Principal
1001247,4,Alto Valor Principal
1001249,4,Alto Valor Principal
1001254,3,Profesionales Dormidos
1001257,4,Alto Valor Principal
1001259,4,Alto Valor Principal
1001261,4,Alto Valor Principal
1001263,4,Alto Valor Principal
1001264,3,Profesionales Dormidos
1001265,4,Alto Valor Principal
1001266,3,Profesionales Dormidos
1001268,3,Profesionales Dormidos
1001269,3,Profesionales Dormidos
1001271,7,Valor Medio-Alto
1001272,7,Valor Medio-Alto
1001275,8,Emergentes Premium
1001278,4,Alto Valor Principal
1001280,7,Valor Medio-Alto
1001281,3,Profesionales Dormidos
1001282,7,Valor Medio-Alto
1001284,4,Alto Valor Principal
1001287,7,Valor Medio-Alto
1001288,4,Alto Valor Principal
1001289,7,Valor Medio-Alto
1001290,4,Alto Valor Principal
1001292,4,Alto Valor Principal
1001293,4,Alto Valor Principal
1001294,4,Alto Valor Principal
1001296,7,Valor Medio-Alto
1001297,7,Valor Medio-Alto
1001298,7,Valor Medio-Alto
1001300,7,Valor Medio-Alto
1001301,4,Alto Valor Principal
1001303,3,Profesionales Dormidos
1001304,3,Profesionales Dormidos
1001305,7,Valor Medio-Alto
1001308,7,Valor Medio-Alto
1001314,7,Valor Medio-Alto
1001316,3,Profesionales Dormidos
1001317,7,Valor Medio-Alto
1001318,3,Profesionales Dormidos
1001320,7,Valor Medio-Alto
1001321,3,Profesionales Dormidos
1001322,3,Profesionales Dormidos
1001323,7,Valor Medio-Alto
1001326,4,Alto Valor Principal
1001327,4,Alto Valor Principal
1001329,3,Profesionales Dormidos
1001330,7,Valor Medio-Alto
1001331,3,Profesionales Dormidos
1001332,7,Valor Medio-Alto
1001335,7,Valor Medio-Alto
1001336,7,Valor Medio-Alto
1001337,8,Emergentes Premium
1001342,3,Profesionales Dormidos
1001343,3,Profesionales Dormidos
1001344,7,Valor Medio-Alto
1001345,2,Inactivos Totales
1001346,5,Jóvenes Activos Básicos
1001347,5,Jóvenes Activos Básicos
1001348,4,Alto Valor Principal
1001350,3,Profesionales Dormidos
1001353,7,Valor Medio-Alto
1001354,3,Profesionales Dormidos
1001357,7,Valor Medio-Alto
1001359,4,Alto Valor Principal
1001361,4,Alto Valor Principal
1001363,4,Alto Valor Principal
1001364,7,Valor Medio-Alto
1001365,4,Alto Valor Principal
1001366,3,Profesionales Dormidos
1001367,8,Emergentes Premium
1001368,3,Profesionales Dormidos
1001371,4,Alto Valor Principal
1001373,3,Profesionales Dormidos
1001374,4,Alto Valor Principal
1001375,1,Universitarios Estándar
1001376,7,Valor Medio-Alto
1001378,3,Profesionales Dormidos
1001379,3,Profesionales Dormidos
1001381,4,Alto Valor Principal
1001383,7,Valor Medio-Alto
1001384,4,Alto Valor Principal
1001385,7,Valor Medio-Alto
1001386,7,Valor Medio-Alto
1001387,7,Valor Medio-Alto
1001388,7,Valor Medio-Alto
1001389,4,Alto Valor Principal
1001390,7,Valor Medio-Alto
1001392,3,Profesionales Dormidos
1001393,4,Alto Valor Principal
1001394,4,Alto Valor Principal
1001396,3,Profesionales Dormidos
1001397,3,Profesionales Dormidos
1001398,3,Profesionales Dormidos
1001399,4,Alto Valor Principal
1001400,3,Profesionales Dormidos
1001404,7,Valor Medio-Alto
1001406,3,Profesionales Dormidos
1001407,7,Valor Medio-Alto
1001409,3,Profesionales Dormidos
1001410,4,Alto Valor Principal
1001411,7,Valor Medio-Alto
1001412,4,Alto Valor Principal
1001414,3,Profesionales Dormidos
1001415,7,Valor Medio-Alto
1001417,4,Alto Valor Principal
1001418,7,Valor Medio-Alto
1001419,4,Alto Valor Principal
1001420,3,Profesionales Dormidos
1001422,3,Profesionales Dormidos
1001423,3,Profesionales Dormidos
1001424,3,Profesionales Dormidos
1001430,3,Profesionales Dormidos
1001431,3,Profesionales Dormidos
1001433,4,Alto Valor Principal
1001434,4,Alto Valor Principal
1001435,4,Alto Valor Principal
1001439,7,Valor Medio-Alto
1001443,8,Emergentes Premium
1001444,4,Alto Valor Principal
1001445,4,Alto Valor Principal
1001446,4,Alto Valor Principal
1001447,3,Profesionales Dormidos
1001448,3,Profesionales Dormidos
1001450,3,Profesionales Dormidos
1001451,5,Jóvenes Activos Básicos
1001452,3,Profesionales Dormidos
1001455,8,Emergentes Premium
1001458,1,Universitarios Estándar
1001459,1,Universitarios Estándar
1001460,1,Universitarios Estándar
1001461,1,Universitarios Estándar
1001464,7,Valor Medio-Alto
1001466,8,Emergentes Premium
1001467,7,Valor Medio-Alto
1001468,4,Alto Valor Principal
1001469,4,Alto Valor Principal
1001470,8,Emergentes Premium
1001471,3,Profesionales Dormidos
1001472,4,Alto Valor Principal
1001474,4,Alto Valor Principal
1001475,4,Alto Valor Principal
1001478,7,Valor Medio-Alto
1001480,4,Alto Valor Principal
1001483,4,Alto Valor Principal
1001484,4,Alto Valor Principal
1001486,4,Alto Valor Principal
1001487,3,Profesionales Dormidos
1001489,4,Alto Valor Principal
1001491,7,Valor Medio-Alto
1001492,7,Valor Medio-Alto
1001494,3,Profesionales Dormidos
1001497,3,Profesionales Dormidos
1001498,3,Profesionales Dormidos
1001500,7,Valor Medio-Alto
1001501,4,Alto Valor Principal
1001503,4,Alto Valor Principal
1001505,4,Alto Valor Principal
1001506,3,Profesionales Dormidos
1001507,4,Alto Valor Principal
1001508,4,Alto Valor Principal
1001509,3,Profesionales Dormidos
1001511,3,Profesionales Dormidos
1001512,7,Valor Medio-Alto
1001513,7,Valor Medio-Alto
1001515,4,Alto Valor Principal
1001516,7,Valor Medio-Alto
1001519,7,Valor Medio-Alto
1001520,8,Emergentes Premium
1001521,7,Valor Medio-Alto
1001522,3,Profesionales Dormidos
1001524,7,Valor Medio-Alto
1001528,4,Alto Valor Principal
1001529,7,Valor Medio-Alto
1001532,4,Alto Valor Principal
1001533,3,Profesionales Dormidos
1001536,4,Alto Valor Principal
1001537,7,Valor Medio-Alto
1001539,1,Universitarios Estándar
1001540,3,Profesionales Dormidos
1001542,7,Valor Medio-Alto
1001543,8,Emergentes Premium
1001545,4,Alto Valor Principal
1001546,7,Valor Medio-Alto
1001550,5,Jóvenes Activos Básicos
1001555,4,Alto Valor Principal
1001556,4,Alto Valor Principal
1001558,3,Profesionales Dormidos
1001560,4,Alto Valor Principal
1001561,1,Universitarios Estándar
1001562,6,Alto Potencial Virgen
1001564,7,Valor Medio-Alto
1001565,7,Valor Medio-Alto
1001566,3,Profesionales Dormidos
1001567,3,Profesionales Dormidos
1001568,4,Alto Valor Principal
1001570,3,Profesionales Dormidos
1001571,3,Profesionales Dormidos
1001574,4,Alto Valor Principal
1001576,3,Profesionales Dormidos
1001578,4,Alto Valor Principal
1001579,5,Jóvenes Activos Básicos
1001580,3,Profesionales Dormidos
1001582,4,Alto Valor Principal
1001585,7,Valor Medio-Alto
1001587,4,Alto Valor Principal
1001589,4,Alto Valor Principal
1001590,7,Valor Medio-Alto
1001591,8,Emergentes Premium
1001592,7,Valor Medio-Alto
1001593,3,Profesionales Dormidos
1001594,3,Profesionales Dormidos
1001595,3,Profesionales Dormidos
1001596,3,Profesionales Dormidos
1001597,3,Profesionales Dormidos
1001599,7,Valor Medio-Alto
1001601,7,Valor Medio-Alto
1001603,7,Valor Medio-Alto
1001605,3,Profesionales Dormidos
1001607,8,Emergentes Premium
1001608,3,Profesionales Dormidos
1001609,3,Profesionales Dormidos
1001611,4,Alto Valor Principal
1001612,3,Profesionales Dormidos
1001614,1,Universitarios Estándar
1001615,3,Profesionales Dormidos
1001617,3,Profesionales Dormidos
1001618,7,Valor Medio-Alto
1001620,8,Emergentes Premium
1001623,3,Profesionales Dormidos
1001627,7,Valor Medio-Alto
1001628,3,Profesionales Dormidos
1001630,8,Emergentes Premium
1001631,3,Profesionales Dormidos
