pk_cid,cluster,cluster_name
1000934,5,Particulares Activos
1000935,2,Profesionales Dormidos
1000937,5,Particulares Activos
1000942,5,Particulares Activos
1000947,2,Profesionales Dormidos
1000948,5,Particulares Activos
1000949,2,Profesionales Dormidos
1000950,4,Universitarios Estándar
1000951,3,Activos Multi-producto
1000952,3,Activos Multi-producto
1000953,3,Activos Multi-producto
1000954,3,Activos Multi-producto
1000955,3,Activos Multi-producto
1000956,3,Activos Multi-producto
1000957,3,Activos Multi-producto
1000958,3,Activos Multi-producto
1000959,2,Profesionales Dormidos
1000960,5,Particulares Activos
1000963,3,Activos Multi-producto
1000964,5,Particulares Activos
1000965,5,Particulares Activos
1000966,2,Profesionales Dormidos
1000967,5,Particulares Activos
1000968,5,Particulares Activos
1000969,5,Particulares Activos
1000970,5,Particulares Activos
1000972,2,Profesionales Dormidos
1000973,5,Particulares Activos
1000974,2,Profesionales Dormidos
1000975,2,Profesionales Dormidos
1000977,5,Particulares Activos
1000978,2,Profesionales Dormidos
1000981,2,Profesionales Dormidos
1000982,2,Profesionales Dormidos
1000983,4,Universitarios Estándar
1000985,2,Profesionales Dormidos
1000987,2,Profesionales Dormidos
1000988,5,Particulares Activos
1000989,5,Particulares Activos
1000992,2,Profesionales Dormidos
1000994,5,Particulares Activos
1000996,5,Particulares Activos
1000997,2,Profesionales Dormidos
1000998,5,Particulares Activos
1001001,2,Profesionales Dormidos
1001002,5,Particulares Activos
1001004,2,Profesionales Dormidos
1001005,5,Particulares Activos
1001006,2,Profesionales Dormidos
1001007,5,Particulares Activos
1001009,2,Profesionales Dormidos
1001010,5,Particulares Activos
1001011,5,Particulares Activos
1001012,2,Profesionales Dormidos
1001013,2,Profesionales Dormidos
1001015,1,Jóvenes Exploradores
1001016,5,Particulares Activos
1001018,5,Particulares Activos
1001020,5,Particulares Activos
1001022,5,Particulares Activos
1001025,2,Profesionales Dormidos
1001027,5,Particulares Activos
1001028,1,Jóvenes Exploradores
1001029,2,Profesionales Dormidos
1001030,2,Profesionales Dormidos
1001032,2,Profesionales Dormidos
1001034,5,Particulares Activos
1001035,3,Activos Multi-producto
1001036,2,Profesionales Dormidos
1001037,5,Particulares Activos
1001038,1,Jóvenes Exploradores
1001041,2,Profesionales Dormidos
1001042,2,Profesionales Dormidos
1001043,2,Profesionales Dormidos
1001044,2,Profesionales Dormidos
1001045,5,Particulares Activos
1001047,5,Particulares Activos
1001048,2,Profesionales Dormidos
1001050,3,Activos Multi-producto
1001051,5,Particulares Activos
1001052,2,Profesionales Dormidos
1001053,2,Profesionales Dormidos
1001054,5,Particulares Activos
1001056,1,Jóvenes Exploradores
1001057,2,Profesionales Dormidos
1001058,2,Profesionales Dormidos
1001059,3,Activos Multi-producto
100106,5,Particulares Activos
1001060,2,Profesionales Dormidos
1001061,4,Universitarios Estándar
1001062,5,Particulares Activos
1001063,2,Profesionales Dormidos
1001064,5,Particulares Activos
1001065,2,Profesionales Dormidos
1001066,2,Profesionales Dormidos
1001067,2,Profesionales Dormidos
1001069,2,Profesionales Dormidos
1001070,2,Profesionales Dormidos
1001071,5,Particulares Activos
1001076,5,Particulares Activos
1001077,2,Profesionales Dormidos
1001078,3,Activos Multi-producto
1001080,2,Profesionales Dormidos
1001081,2,Profesionales Dormidos
1001082,2,Profesionales Dormidos
1001084,1,Jóvenes Exploradores
1001086,2,Profesionales Dormidos
1001087,5,Particulares Activos
1001088,2,Profesionales Dormidos
1001089,2,Profesionales Dormidos
1001090,2,Profesionales Dormidos
1001091,2,Profesionales Dormidos
1001092,2,Profesionales Dormidos
1001093,2,Profesionales Dormidos
1001095,5,Particulares Activos
1001096,2,Profesionales Dormidos
1001098,2,Profesionales Dormidos
1001100,2,Profesionales Dormidos
1001101,5,Particulares Activos
1001102,2,Profesionales Dormidos
1001103,5,Particulares Activos
1001104,2,Profesionales Dormidos
1001105,3,Activos Multi-producto
1001106,2,Profesionales Dormidos
1001107,2,Profesionales Dormidos
1001108,5,Particulares Activos
1001109,2,Profesionales Dormidos
1001111,2,Profesionales Dormidos
1001112,4,Universitarios Estándar
1001113,5,Particulares Activos
1001114,5,Particulares Activos
1001117,5,Particulares Activos
1001120,2,Profesionales Dormidos
1001122,5,Particulares Activos
1001123,2,Profesionales Dormidos
1001124,5,Particulares Activos
1001125,5,Particulares Activos
1001132,2,Profesionales Dormidos
1001133,2,Profesionales Dormidos
1001135,4,Universitarios Estándar
1001136,1,Jóvenes Exploradores
1001137,5,Particulares Activos
1001139,5,Particulares Activos
1001143,5,Particulares Activos
1001147,5,Particulares Activos
1001149,5,Particulares Activos
1001150,5,Particulares Activos
1001151,2,Profesionales Dormidos
1001152,5,Particulares Activos
1001154,5,Particulares Activos
1001155,5,Particulares Activos
1001158,2,Profesionales Dormidos
1001159,5,Particulares Activos
1001161,5,Particulares Activos
1001162,5,Particulares Activos
1001165,5,Particulares Activos
1001166,1,Jóvenes Exploradores
1001167,5,Particulares Activos
1001171,5,Particulares Activos
1001173,2,Profesionales Dormidos
1001176,5,Particulares Activos
1001177,3,Activos Multi-producto
1001178,5,Particulares Activos
1001179,2,Profesionales Dormidos
1001180,5,Particulares Activos
1001181,2,Profesionales Dormidos
1001183,1,Jóvenes Exploradores
1001184,5,Particulares Activos
1001185,5,Particulares Activos
1001187,5,Particulares Activos
1001188,4,Universitarios Estándar
1001192,2,Profesionales Dormidos
1001193,2,Profesionales Dormidos
1001196,2,Profesionales Dormidos
1001197,5,Particulares Activos
1001200,2,Profesionales Dormidos
1001202,5,Particulares Activos
1001203,5,Particulares Activos
1001206,2,Profesionales Dormidos
1001208,2,Profesionales Dormidos
1001211,5,Particulares Activos
1001212,2,Profesionales Dormidos
1001213,2,Profesionales Dormidos
1001216,5,Particulares Activos
1001217,2,Profesionales Dormidos
1001218,5,Particulares Activos
1001219,5,Particulares Activos
1001220,5,Particulares Activos
1001223,5,Particulares Activos
1001224,5,Particulares Activos
1001225,5,Particulares Activos
1001226,3,Activos Multi-producto
1001228,5,Particulares Activos
1001229,5,Particulares Activos
1001230,2,Profesionales Dormidos
1001232,5,Particulares Activos
1001235,5,Particulares Activos
1001237,2,Profesionales Dormidos
1001238,2,Profesionales Dormidos
1001239,2,Profesionales Dormidos
1001241,4,Universitarios Estándar
1001242,5,Particulares Activos
1001243,2,Profesionales Dormidos
1001245,5,Particulares Activos
1001247,5,Particulares Activos
1001249,5,Particulares Activos
1001254,2,Profesionales Dormidos
1001257,5,Particulares Activos
1001259,5,Particulares Activos
1001261,5,Particulares Activos
1001263,5,Particulares Activos
1001264,2,Profesionales Dormidos
1001265,5,Particulares Activos
1001266,2,Profesionales Dormidos
1001268,2,Profesionales Dormidos
1001269,2,Profesionales Dormidos
1001271,5,Particulares Activos
1001272,5,Particulares Activos
1001275,1,Jóvenes Exploradores
1001278,5,Particulares Activos
1001280,5,Particulares Activos
1001281,2,Profesionales Dormidos
1001282,5,Particulares Activos
1001284,5,Particulares Activos
1001287,5,Particulares Activos
1001288,5,Particulares Activos
1001289,2,Profesionales Dormidos
1001290,5,Particulares Activos
1001292,5,Particulares Activos
1001293,5,Particulares Activos
1001294,5,Particulares Activos
1001296,5,Particulares Activos
1001297,2,Profesionales Dormidos
1001298,5,Particulares Activos
1001300,5,Particulares Activos
1001301,5,Particulares Activos
1001303,2,Profesionales Dormidos
1001304,2,Profesionales Dormidos
1001305,2,Profesionales Dormidos
1001308,2,Profesionales Dormidos
1001314,5,Particulares Activos
1001316,2,Profesionales Dormidos
1001317,5,Particulares Activos
1001318,2,Profesionales Dormidos
1001320,5,Particulares Activos
1001321,2,Profesionales Dormidos
1001322,2,Profesionales Dormidos
1001323,2,Profesionales Dormidos
1001326,5,Particulares Activos
1001327,5,Particulares Activos
1001329,2,Profesionales Dormidos
1001330,5,Particulares Activos
1001331,2,Profesionales Dormidos
1001332,5,Particulares Activos
1001335,5,Particulares Activos
1001336,5,Particulares Activos
1001337,1,Jóvenes Exploradores
1001342,2,Profesionales Dormidos
1001343,2,Profesionales Dormidos
1001344,5,Particulares Activos
1001345,1,Jóvenes Exploradores
1001346,3,Activos Multi-producto
1001347,3,Activos Multi-producto
1001348,5,Particulares Activos
1001350,2,Profesionales Dormidos
1001353,5,Particulares Activos
1001354,2,Profesionales Dormidos
1001357,5,Particulares Activos
1001359,5,Particulares Activos
1001361,5,Particulares Activos
1001363,5,Particulares Activos
1001364,2,Profesionales Dormidos
1001365,5,Particulares Activos
1001366,2,Profesionales Dormidos
1001367,1,Jóvenes Exploradores
1001368,2,Profesionales Dormidos
1001371,5,Particulares Activos
1001373,2,Profesionales Dormidos
1001374,5,Particulares Activos
1001375,4,Universitarios Estándar
1001376,2,Profesionales Dormidos
1001378,2,Profesionales Dormidos
1001379,2,Profesionales Dormidos
1001381,5,Particulares Activos
1001383,5,Particulares Activos
1001384,5,Particulares Activos
1001385,5,Particulares Activos
1001386,2,Profesionales Dormidos
1001387,5,Particulares Activos
1001388,5,Particulares Activos
1001389,5,Particulares Activos
1001390,2,Profesionales Dormidos
1001392,2,Profesionales Dormidos
1001393,5,Particulares Activos
1001394,5,Particulares Activos
1001396,2,Profesionales Dormidos
1001397,2,Profesionales Dormidos
1001398,2,Profesionales Dormidos
1001399,5,Particulares Activos
1001400,2,Profesionales Dormidos
1001404,5,Particulares Activos
1001406,2,Profesionales Dormidos
1001407,2,Profesionales Dormidos
1001409,2,Profesionales Dormidos
1001410,5,Particulares Activos
1001411,5,Particulares Activos
1001412,5,Particulares Activos
1001414,2,Profesionales Dormidos
1001415,5,Particulares Activos
1001417,5,Particulares Activos
1001418,5,Particulares Activos
1001419,5,Particulares Activos
1001420,2,Profesionales Dormidos
1001422,2,Profesionales Dormidos
1001423,2,Profesionales Dormidos
1001424,2,Profesionales Dormidos
1001430,2,Profesionales Dormidos
1001431,2,Profesionales Dormidos
1001433,5,Particulares Activos
1001434,5,Particulares Activos
1001435,5,Particulares Activos
1001439,5,Particulares Activos
1001443,1,Jóvenes Exploradores
1001444,5,Particulares Activos
1001445,5,Particulares Activos
1001446,5,Particulares Activos
1001447,2,Profesionales Dormidos
1001448,2,Profesionales Dormidos
1001450,2,Profesionales Dormidos
1001451,3,Activos Multi-producto
1001452,2,Profesionales Dormidos
1001455,1,Jóvenes Exploradores
1001458,4,Universitarios Estándar
1001459,4,Universitarios Estándar
1001460,4,Universitarios Estándar
1001461,4,Universitarios Estándar
1001464,2,Profesionales Dormidos
1001466,1,Jóvenes Exploradores
1001467,5,Particulares Activos
1001468,5,Particulares Activos
1001469,5,Particulares Activos
1001470,1,Jóvenes Exploradores
1001471,2,Profesionales Dormidos
1001472,5,Particulares Activos
1001474,5,Particulares Activos
1001475,5,Particulares Activos
1001478,5,Particulares Activos
1001480,5,Particulares Activos
1001483,5,Particulares Activos
1001484,5,Particulares Activos
1001486,5,Particulares Activos
1001487,2,Profesionales Dormidos
1001489,5,Particulares Activos
1001491,5,Particulares Activos
1001492,5,Particulares Activos
1001494,2,Profesionales Dormidos
1001497,2,Profesionales Dormidos
1001498,2,Profesionales Dormidos
1001500,3,Activos Multi-producto
1001501,5,Particulares Activos
1001503,5,Particulares Activos
1001505,5,Particulares Activos
1001506,2,Profesionales Dormidos
1001507,5,Particulares Activos
1001508,5,Particulares Activos
1001509,2,Profesionales Dormidos
1001511,2,Profesionales Dormidos
1001512,5,Particulares Activos
1001513,5,Particulares Activos
1001515,5,Particulares Activos
1001516,2,Profesionales Dormidos
1001519,2,Profesionales Dormidos
1001520,5,Particulares Activos
1001521,5,Particulares Activos
1001522,2,Profesionales Dormidos
1001524,5,Particulares Activos
1001528,5,Particulares Activos
1001529,2,Profesionales Dormidos
1001532,5,Particulares Activos
1001533,2,Profesionales Dormidos
1001536,5,Particulares Activos
1001537,2,Profesionales Dormidos
1001539,4,Universitarios Estándar
1001540,2,Profesionales Dormidos
1001542,5,Particulares Activos
1001543,1,Jóvenes Exploradores
1001545,5,Particulares Activos
1001546,2,Profesionales Dormidos
1001550,3,Activos Multi-producto
1001555,5,Particulares Activos
1001556,5,Particulares Activos
1001558,2,Profesionales Dormidos
1001560,5,Particulares Activos
1001561,4,Universitarios Estándar
1001562,6,Alto Potencial Virgen
1001564,2,Profesionales Dormidos
1001565,5,Particulares Activos
1001566,2,Profesionales Dormidos
1001567,2,Profesionales Dormidos
1001568,5,Particulares Activos
1001570,2,Profesionales Dormidos
1001571,2,Profesionales Dormidos
1001574,5,Particulares Activos
1001576,2,Profesionales Dormidos
1001578,5,Particulares Activos
1001579,3,Activos Multi-producto
1001580,2,Profesionales Dormidos
1001582,5,Particulares Activos
1001585,5,Particulares Activos
1001587,5,Particulares Activos
1001589,5,Particulares Activos
1001590,5,Particulares Activos
1001591,1,Jóvenes Exploradores
1001592,5,Particulares Activos
1001593,2,Profesionales Dormidos
1001594,2,Profesionales Dormidos
1001595,2,Profesionales Dormidos
1001596,2,Profesionales Dormidos
1001597,2,Profesionales Dormidos
1001599,5,Particulares Activos
1001601,2,Profesionales Dormidos
1001603,2,Profesionales Dormidos
1001605,2,Profesionales Dormidos
1001607,1,Jóvenes Exploradores
1001608,2,Profesionales Dormidos
1001609,2,Profesionales Dormidos
1001611,5,Particulares Activos
1001612,2,Profesionales Dormidos
1001614,4,Universitarios Estándar
1001615,2,Profesionales Dormidos
1001617,2,Profesionales Dormidos
1001618,2,Profesionales Dormidos
1001620,1,Jóvenes Exploradores
1001623,2,Profesionales Dormidos
1001627,5,Particulares Activos
1001628,2,Profesionales Dormidos
1001630,1,Jóvenes Exploradores
1001631,2,Profesionales Dormidos
1001632,5,Particulares Activos
1001633,1,Jóvenes Exploradores
1001635,5,Particulares Activos
1001636,2,Profesionales Dormidos
1001637,2,Profesionales Dormidos
1001638,2,Profesionales Dormidos
1001639,1,Jóvenes Exploradores
1001640,5,Particulares Activos
1001641,2,Profesionales Dormidos
1001642,4,Universitarios Estándar
1001644,5,Particulares Activos
1001646,2,Profesionales Dormidos
1001647,2,Profesionales Dormidos
1001648,5,Particulares Activos
1001649,5,Particulares Activos
1001650,2,Profesionales Dormidos
1001651,5,Particulares Activos
1001652,5,Particulares Activos
1001656,2,Profesionales Dormidos
1001657,6,Alto Potencial Virgen
1001658,2,Profesionales Dormidos
1001659,3,Activos Multi-producto
1001660,5,Particulares Activos
1001664,2,Profesionales Dormidos
1001665,5,Particulares Activos
1001666,2,Profesionales Dormidos
1001667,5,Particulares Activos
1001668,5,Particulares Activos
100167,5,Particulares Activos
1001671,5,Particulares Activos
1001672,2,Profesionales Dormidos
1001674,5,Particulares Activos
1001676,5,Particulares Activos
1001677,5,Particulares Activos
1001678,5,Particulares Activos
1001679,5,Particulares Activos
1001680,2,Profesionales Dormidos
1001681,2,Profesionales Dormidos
1001682,5,Particulares Activos
1001683,5,Particulares Activos
1001685,5,Particulares Activos
1001686,5,Particulares Activos
1001688,5,Particulares Activos
1001689,5,Particulares Activos
1001690,2,Profesionales Dormidos
1001691,5,Particulares Activos
1001692,2,Profesionales Dormidos
1001693,5,Particulares Activos
1001695,2,Profesionales Dormidos
1001696,2,Profesionales Dormidos
1001697,5,Particulares Activos
1001698,2,Profesionales Dormidos
1001700,5,Particulares Activos
1001702,5,Particulares Activos
1001703,2,Profesionales Dormidos
1001704,5,Particulares Activos
1001706,2,Profesionales Dormidos
1001707,2,Profesionales Dormidos
1001708,2,Profesionales Dormidos
1001709,6,Alto Potencial Virgen
1001710,3,Activos Multi-producto
1001711,1,Jóvenes Exploradores
1001712,5,Particulares Activos
1001713,5,Particulares Activos
